"","LTF","NUGGC","SERPINA5","GCSAM","CCDC141","MUSK","BCL11A","KLRG1","RGS13","TOX","AICDA","RGS9","PSMA8","BCL11B","FGD2","FBP2","C22ORF15","PPP1R16B","CNR2","MADCAM1","DTHD1","NPHS1","KEL","GPR18","SLC1A2","SPIB","TCL1A","ZNF831","DNER","STAR","RTP5","MGAM2","CPA5","SLC13A2","FCAMR","BTN1A1","KBTBD8","LRMP","ANK1","KIR3DX1","IRF8","VPREB3","CR2","TXLNB","ZNF80","NLRP6","JAKMIP1","POU2F2","CD19","NLRP4","IL2","CCL19","CD38","SERPINA9","VNN2","RHOH","BLK","CD8A","LY9","CD40LG","CD79B","CD69","CD72","PLA2G2D","STAP1","PDCD1","SH2D1A","BFSP2","MEF2B","IL16","EXOC3L4","PLEKHG7","TNFRSF13C","ST8SIA1","THEMIS","GZMK","TRAT1","FCMR","GPR174","CD48","RUNX3","CHST8","HIST1H3J","FCRLA","ITK","DMRTA2","CXCR4","TESPA1","VRTN","CAPN14","TAGAP","C16ORF54","IL24","POU2AF1","LINC00282","FCRL4","CLEC17A","P2RY10","GZMM","TF","KLHL6","FCER2","C12ORF42","PAX5","BTLA","POU4F1","CYTIP","CCL4L2","FCRL3","HSF5","SCML4","CD247","HEPACAM","SLC12A3","SLC35G3","SP140","CD79A","IL17REL","IKZF1","CD3D","TNR","TNFRSF13B","PYHIN1","MYBL2","CCR7","FAM129C","KCNA3","CD28","LAG3","ABCB11","CRTAM","AIM2","SLAMF6","AC119396.1","LCK","TMEM156","ICOS","IL7R","PNOC","MS4A1","TIGIT","PTPRC","RASGRP2","NCR3","CARMIL2","CD3E","CXCR5","REG4","TLR10","JCHAIN","CD5","UBD","CD37","IDO1","TTC24","DDX4","TMEM95","BEND4","NLRP11","NPTX1","ADAMDEC1","AC010616.1","ALPK2","EOMES","TIMD4","FLT3","FCRL1","SIRPG","CTLA4","LTA","INSM1","CXCL13","CR1","ZPBP2","LGALS9B","P2RX2","ISL2","CLEC4C","FDCSP","RGS7","SORCS3","P2RX5","UGT2B17","SHISA8","FCRL5","FCRL2"
"TCGA.DE.A3KN.01A",337,40,3,244,61,2,267,52,5,168,0,107,0,103,194,0,8,447,5,31,8,1,17,30,178,6,1,44,2,5,4,1,2,0,0,7,130,234,37,3,106,4,61,8,4,11,6,119,17,0,1,100,49,0,24,73,8,707,63,11,346,324,161,12,15,110,43,3,37,522,23,1,32,39,63,40,10,131,27,173,243,12,1,12,131,1,1459,28,1,5,244,74,32,253,2,0,1,23,52,37,159,4,3,7,13,1,265,97,24,1,37,161,0,1,1,61,42,2,264,105,8,10,52,32,75,24,51,13,69,3,30,12,99,20,297,111,24,353,7,229,71,909,426,13,63,500,4,1,30,1818,99,0,389,7,17,1,0,3,3,4,3,1,1,39,27,6,2,31,21,3,3,21,9,1,0,1,0,0,5,3,0,15,0,1,39,2
"TCGA.FY.A3R9.01A",576,217,13,1006,55,4,89,26,6,16,0,21,5,78,523,1,12,438,10,16,0,1,6,8,35,6,5,7,4,0,1,3,8,0,0,1,32,290,34,2,420,16,61,15,0,4,23,89,4,2,1,40,76,0,21,17,23,343,13,25,100,136,79,0,1,80,9,173,16,281,3,0,9,23,9,9,8,57,2,106,37,6,0,1,33,1,999,25,0,4,131,16,23,85,0,0,0,4,12,10,87,1,2,1,7,0,127,89,4,0,11,21,1,3,0,24,5,1,114,18,10,1,8,20,61,5,35,18,6,0,9,12,21,15,63,23,7,194,1,7,6,501,209,2,13,85,0,0,23,84,20,1,179,25,1,0,0,2,0,1,2,0,2,4,12,15,0,6,30,3,0,1,11,0,0,0,0,0,0,6,0,0,0,0,2,0
"TCGA.FY.A3YR.01A",115,23,11,55,21,0,55,23,3,100,0,27,1,97,175,0,0,206,0,15,3,0,11,17,30,5,2,53,7,3,1,0,9,0,2,3,75,97,34,1,226,2,8,13,18,1,25,108,2,2,2,51,24,3,15,111,4,403,37,15,129,178,98,7,9,46,51,5,9,400,6,0,7,82,37,40,12,222,21,191,232,2,0,1,172,1,601,49,0,4,168,59,61,31,3,0,0,52,42,13,130,0,1,0,30,1,200,64,12,1,25,212,11,4,0,60,21,3,261,199,7,4,63,61,80,3,15,88,156,0,21,12,88,9,292,30,97,277,23,1,293,1183,104,15,92,490,1,0,37,153,212,35,413,118,8,1,0,1,0,30,9,5,46,33,9,8,1,104,142,64,5,92,16,0,0,0,1,3,0,1,4,23,0,0,0,0
"TCGA.E8.A418.01A",53,20,6,100,9,0,117,42,3,89,2,55,0,148,328,1,15,169,4,30,6,3,10,30,20,27,6,30,1,2,3,3,1,1,2,3,118,193,33,2,460,30,24,15,8,7,51,137,7,0,2,66,82,1,49,175,6,438,94,183,108,695,171,128,20,97,89,2,24,324,55,1,34,69,137,94,49,409,40,475,298,2,0,6,285,1,1672,103,0,2,335,100,100,79,3,2,5,40,100,6,305,8,0,12,35,0,353,203,21,4,61,349,1,4,1,245,99,3,377,281,0,7,94,76,144,16,32,161,226,0,43,30,148,18,488,47,88,567,7,13,227,2062,160,46,122,888,2,0,44,325,505,55,716,565,2,1,0,0,0,11,573,4,4,25,21,13,5,90,100,66,10,39,56,0,1,0,0,4,0,2,0,25,0,7,55,5
"TCGA.J8.A4HW.01A",499,15,3,220,23,3,177,26,0,52,0,21,1,21,154,0,3,379,8,35,1,17,16,7,60,7,2,5,2,7,0,1,2,1,0,2,34,1021,30,1,238,27,7,9,10,0,6,66,9,0,0,1,114,3,108,24,3,40,9,7,43,30,144,4,6,34,11,3,16,217,1,0,21,635,7,4,2,108,2,49,74,28,0,2,15,3,621,101,2,4,95,15,50,74,2,0,7,2,5,30,142,10,1,4,4,2,84,8,5,2,5,23,1,5,2,18,8,1,60,16,4,1,3,146,28,16,16,10,74,5,5,4,12,15,100,9,6,123,4,17,23,281,133,4,12,47,1,2,30,39,23,2,120,2,0,3,1,0,0,3,4,2,18,9,63,5,1,6,3,1,0,0,16,1,0,0,0,0,2,0,0,5,0,0,5,0
"TCGA.DJ.A3VI.01A",71,25,5,165,6,3,122,33,3,268,1,26,3,111,191,0,4,374,8,15,8,0,28,5,5,9,3,34,6,4,2,2,7,0,1,4,30,117,42,2,211,6,24,15,9,8,27,126,34,0,0,98,123,0,24,169,21,618,63,9,107,227,150,61,15,64,44,8,23,236,18,0,84,35,56,55,15,206,13,238,146,4,0,32,150,1,1811,39,0,1,236,51,55,725,2,1,7,21,47,18,198,3,0,15,40,0,389,30,33,2,53,139,0,3,0,85,368,2,335,197,0,65,59,400,124,6,23,52,73,0,34,27,179,20,293,55,18,391,23,3936,85,845,114,15,71,488,1,0,20,8535,113,11,293,55,13,0,0,3,1,3,42,5,1,64,28,20,7,55,65,3,0,80,13,1,1,0,1,0,4,0,0,37,1,0,169,40
"TCGA.DJ.A3VJ.01A",261,26,7,288,35,4,219,59,8,217,1,47,1,194,413,0,4,485,12,23,11,4,13,20,15,25,23,76,1,2,3,2,7,0,6,2,84,270,35,0,866,23,61,21,17,9,76,217,23,3,3,735,209,0,80,265,35,748,103,79,252,602,171,87,20,194,144,15,16,568,20,1,51,158,95,337,57,312,30,476,348,39,1,25,293,3,4316,135,0,3,407,86,110,181,0,2,8,55,81,24,350,10,3,6,81,0,775,0,74,5,46,374,0,4,0,131,175,4,493,355,2,24,122,247,206,33,23,122,203,0,75,42,228,21,727,59,107,1386,25,98,374,1927,485,31,162,858,0,2,46,3136,264,90,645,469,12,0,0,3,1,7,42,2,7,123,49,51,12,184,175,25,2,755,30,0,0,1,0,3,51,0,0,21,0,5,80,8
"TCGA.FY.A40L.01A",181,34,3,146,28,2,131,30,6,119,3,51,1,103,448,0,2,220,6,11,2,0,21,21,15,23,0,42,3,2,0,2,3,0,1,9,121,621,42,2,462,12,80,26,15,5,47,172,13,0,1,249,79,3,74,140,11,671,61,33,131,622,139,24,10,98,67,5,15,551,6,0,59,43,68,57,21,351,35,376,278,13,3,20,197,4,1857,74,0,6,490,76,103,238,0,1,7,55,66,3,337,2,2,5,30,0,351,179,21,1,37,227,0,6,0,149,315,3,370,185,4,7,74,200,107,6,20,94,189,0,71,42,153,8,315,56,80,420,23,153,243,1936,194,40,104,681,0,2,85,4156,238,111,1020,315,15,0,2,2,0,16,42,3,30,24,35,26,7,92,161,46,3,188,23,1,1,2,3,2,40,1,4,13,0,2,98,16
"TCGA.EM.A3ST.01A",79,4,0,21,5,0,130,61,0,34,0,150,0,67,73,2,5,143,17,172,5,0,6,16,12,6,0,21,2,9,2,0,20,2,0,2,25,253,23,2,76,27,136,5,0,2,25,153,2,0,0,3,42,0,30,23,5,698,6,15,304,24,209,1,4,172,11,6,32,268,31,3,35,153,2,11,2,90,3,104,118,1,4,1,28,1,502,15,3,3,61,39,47,172,1,0,2,1,27,27,47,0,2,0,2,0,47,49,7,2,9,171,0,4,1,28,18,4,74,34,4,0,21,245,31,51,1,12,40,0,12,2,43,15,186,12,4,18,0,12,30,186,165,8,78,114,0,0,12,16,27,0,128,172,1,3,0,2,3,2,1,1,0,9,11,6,0,4,4,4,0,1,4,0,1,0,0,0,0,0,0,7,1,0,0,0
"TCGA.DJ.A3V7.01A",80,24,5,92,17,0,160,46,2,61,0,49,1,71,161,0,2,259,5,31,1,3,11,30,15,23,0,24,7,6,0,2,2,0,2,3,34,196,46,1,281,21,39,10,6,5,28,181,21,1,1,21,67,1,30,137,9,257,49,37,160,168,168,47,21,63,50,11,21,346,2,1,30,40,47,25,17,443,5,335,172,9,0,1,84,0,1363,92,10,2,242,97,139,175,2,0,3,25,27,13,207,15,0,2,17,0,281,49,18,3,28,184,0,2,1,86,30,3,240,153,2,9,30,168,115,8,6,113,181,0,33,26,73,13,293,44,47,565,1,12,171,976,169,25,95,501,0,0,32,894,207,20,766,159,1,1,5,1,0,0,87,0,5,9,40,15,1,52,104,61,3,23,27,0,1,0,2,1,0,0,0,17,0,2,9,7
"TCGA.IM.A41Z.01A",78,6,2,149,16,0,21,30,5,88,2,18,0,53,215,1,0,300,7,5,7,1,12,12,9,13,1,44,0,1,3,0,2,3,1,0,24,111,9,3,262,13,37,9,9,2,44,68,4,0,0,55,39,0,42,92,16,604,73,20,111,567,88,51,3,105,75,5,9,330,2,1,12,34,35,146,30,165,16,312,242,10,0,5,159,0,1630,63,0,2,173,32,39,65,0,1,1,25,46,4,136,2,0,4,30,1,255,57,66,0,28,177,0,5,0,56,50,0,211,160,1,6,57,99,47,6,16,42,168,0,64,21,146,6,290,18,40,368,0,37,163,1068,111,20,69,465,7,1,15,362,143,66,351,150,12,1,0,4,2,2,76,0,0,57,28,8,9,86,71,15,0,213,2,0,0,0,0,2,0,0,0,11,0,1,13,1
"TCGA.BJ.A45D.01A",586,18,23,39,30,1,227,56,4,24,1,124,20,84,219,1,7,986,25,26,2,3,17,11,18,31,3,23,6,7,1,0,3,0,2,0,55,148,49,0,416,55,86,20,1,1,20,179,21,0,0,3,37,0,69,79,24,189,106,32,398,133,166,148,12,80,30,10,39,675,37,0,23,37,12,76,6,300,0,488,293,13,1,15,31,2,1526,104,1,8,203,74,81,61,1,1,3,15,130,27,293,18,1,8,10,0,257,471,39,3,15,177,1,5,1,49,89,1,238,169,2,6,28,133,217,53,23,61,84,2,27,6,66,4,341,30,23,298,4,32,47,295,688,17,79,382,1,0,21,137,168,13,808,42,2,1,0,0,4,6,206,2,3,17,42,10,1,53,39,20,8,5,17,3,4,0,0,2,0,3,0,26,0,4,18,4
"TCGA.EL.A3ZK.01A",128,37,13,286,13,1,199,30,15,405,2,78,2,98,528,0,5,666,10,30,7,1,16,16,10,118,24,40,8,4,1,1,5,1,2,2,99,277,67,5,715,24,13,24,4,7,25,257,26,2,0,82,149,2,53,193,24,254,89,24,133,523,139,53,15,80,64,12,26,501,16,2,56,120,20,47,21,412,15,346,431,3,0,13,163,1,3169,86,0,4,488,78,165,641,2,3,28,79,43,23,404,1,2,6,24,0,548,122,33,0,26,208,0,8,0,153,185,3,427,111,7,17,59,163,259,27,49,131,76,3,40,31,80,9,205,40,80,1058,15,2457,211,1764,211,23,113,317,4,0,82,9249,168,53,613,250,9,0,5,2,0,2,73,3,26,34,46,40,15,37,190,30,6,28,68,0,2,1,1,4,0,0,0,16,0,6,139,15
"TCGA.DJ.A3V0.01A",94,13,80,64,25,3,166,43,7,80,3,52,2,57,219,1,6,666,8,28,9,2,9,16,15,20,7,26,0,2,5,2,4,0,0,5,56,149,86,3,338,6,25,21,8,5,37,156,10,2,0,362,64,1,26,94,13,317,37,23,158,191,215,8,5,95,53,4,26,519,21,1,25,103,17,66,23,201,10,270,229,17,0,8,104,4,2847,79,0,3,239,76,82,114,0,0,4,31,39,130,196,8,3,5,21,0,211,98,17,1,21,153,9,9,5,94,65,3,293,163,12,7,47,203,122,15,8,50,168,0,43,23,80,6,245,34,56,288,26,34,211,812,405,15,47,425,3,0,43,223,151,50,597,274,11,0,0,2,0,27,33,1,37,23,26,4,6,49,74,24,1,88,35,0,0,0,3,1,4,0,2,7,0,0,5,5
"TCGA.DJ.A2Q6.01A",511,113,30,206,50,2,414,107,12,349,4,39,3,226,557,3,4,2145,24,15,26,5,15,18,30,35,31,173,8,6,2,12,10,0,7,7,217,353,56,5,614,18,181,143,8,24,42,225,44,5,4,1209,121,3,51,349,98,728,105,52,392,880,186,92,26,160,98,8,21,1005,15,3,92,84,108,163,52,367,21,592,471,9,6,56,405,1,3426,169,0,1,499,159,84,565,0,3,7,71,52,105,624,31,3,66,146,0,732,71,76,3,52,262,4,8,1,189,367,3,863,300,32,40,85,160,275,37,47,108,150,2,75,68,374,26,457,121,100,1455,75,245,337,2479,315,18,136,915,3,0,111,8347,338,101,862,360,10,1,0,5,2,6,53,10,55,76,71,131,32,100,196,23,1,686,59,0,3,2,1,4,122,1,16,55,2,3,199,32
"TCGA.KS.A4I7.01A",95,15,0,53,31,2,194,43,6,55,0,33,1,80,129,0,1,103,4,17,2,0,8,13,17,8,3,13,2,3,1,1,7,0,3,0,52,121,11,0,171,5,10,6,2,3,27,85,4,1,0,9,23,1,13,80,6,419,25,26,94,206,80,21,3,131,40,0,18,238,5,0,18,33,30,33,9,76,3,219,225,10,0,3,60,1,808,73,0,1,126,47,17,51,2,0,5,10,49,15,103,3,0,1,16,0,186,86,6,1,15,158,0,2,0,68,32,0,185,135,6,2,30,37,64,15,10,53,126,0,18,15,39,11,272,55,15,139,3,18,98,573,127,17,30,362,1,1,42,836,98,12,368,75,1,0,0,1,0,9,49,1,6,17,3,6,2,24,39,21,1,12,13,0,2,0,0,0,0,0,0,10,1,1,8,1
"TCGA.EL.A3ZQ.01A",94,69,0,17,7,0,137,71,9,28,0,64,0,40,103,0,0,113,7,37,0,1,4,9,10,63,8,26,3,1,2,0,10,0,1,4,32,110,21,1,267,17,18,12,0,3,7,573,149,13,0,315,205,0,40,177,26,274,85,10,802,74,162,35,64,68,55,30,4,836,30,3,75,37,15,143,6,103,0,368,156,119,0,59,28,1,1003,40,0,0,94,49,61,445,0,0,5,28,207,4,67,11,0,17,23,0,236,104,15,0,30,175,0,1,0,113,928,0,261,526,2,81,44,51,74,12,33,23,205,0,23,16,122,5,319,156,15,84,156,57,119,215,142,37,183,325,1,1,81,1459,94,2,592,30,0,0,0,0,4,30,5,0,3,46,34,4,0,68,16,6,0,32,3,0,1,0,9,0,6,0,0,25,16,2,293,39
"TCGA.FY.A3WA.01A",163,942,1,501,253,4,356,55,0,303,0,47,2,366,686,1,11,730,26,6,9,1,37,4,61,17,13,30,64,11,1,11,34,0,0,0,80,1279,26,3,190,10,18,7,8,23,61,223,5,0,0,0,175,0,301,21,118,268,27,16,56,61,173,15,4,108,17,11,30,287,4,1,8,15,5,23,10,126,4,124,134,2,13,4,50,1,1042,611,2,5,261,90,27,18,4,1,5,3,26,25,126,8,2,6,17,5,189,305,18,5,17,103,0,1,0,37,23,11,181,26,3,1,20,61,74,16,42,32,533,1,7,18,37,15,104,4,6,349,2,20,18,851,254,25,111,107,4,0,8,43,50,0,241,21,5,0,0,1,20,3,35,5,1,15,17,7,10,9,4,1,0,1,53,0,0,0,1,2,0,1,0,2,0,0,4,2
"TCGA.E8.A3X7.01A",189,12,16,49,4,0,89,23,4,50,1,15,0,42,131,0,3,226,3,23,0,2,3,15,6,16,7,21,4,2,0,0,0,0,0,2,31,76,23,0,223,16,25,35,3,0,5,84,10,1,1,639,9,1,15,64,7,285,26,7,165,128,133,4,4,51,21,2,18,283,20,0,24,24,10,37,11,177,8,217,181,3,0,10,42,2,675,55,0,0,126,39,47,124,1,0,0,21,28,7,101,5,2,5,15,1,131,84,8,0,15,131,1,5,0,52,50,1,168,146,3,7,21,71,92,6,4,33,122,1,12,15,30,4,173,47,44,165,51,53,128,494,165,4,35,353,0,0,35,66,139,15,416,59,6,0,1,0,0,10,4,4,15,12,3,18,3,47,68,23,0,37,10,0,0,0,0,0,32,1,0,12,1,0,1,1
"TCGA.DJ.A3UV.01A",1408,383,21,148,49,4,407,69,1,293,1,63,0,297,590,0,2,522,28,30,16,3,23,21,57,26,5,69,37,3,5,6,5,0,0,7,127,419,95,5,578,10,26,24,6,8,71,188,27,0,1,422,222,0,46,215,24,771,59,26,151,208,175,32,10,201,86,10,35,644,10,0,23,128,44,131,33,248,40,457,452,21,1,15,222,2,2382,139,0,3,303,124,67,196,4,4,3,47,59,33,330,6,3,10,68,0,533,197,35,4,40,245,2,4,1,146,142,4,531,265,35,6,82,303,177,18,31,71,400,0,87,46,168,13,491,35,63,765,15,31,267,1840,194,23,115,815,2,1,59,3325,267,153,832,992,16,2,0,3,1,61,85,2,5,49,24,33,9,129,119,24,17,268,11,4,0,0,2,0,1,0,1,12,7,0,113,20
"TCGA.EL.A3ZL.01A",111,12,5,74,15,3,169,28,10,35,1,40,0,30,136,1,0,545,8,56,0,0,12,8,11,5,6,9,2,7,0,1,2,0,2,1,42,200,17,1,81,3,18,7,1,3,15,97,5,0,0,84,26,1,6,61,4,126,4,3,126,60,100,13,2,31,7,4,17,197,8,0,18,87,9,20,5,89,1,53,61,4,2,6,39,0,1758,26,1,2,55,18,31,215,1,0,1,6,27,15,104,1,0,4,5,0,111,37,12,0,7,42,2,3,0,23,39,3,103,42,0,4,13,110,23,16,2,15,63,0,7,15,43,9,59,73,12,115,3,634,37,217,211,8,23,122,0,0,7,338,43,28,259,104,0,1,0,2,0,2,3,7,13,2,9,6,2,25,31,6,0,76,15,0,1,0,0,0,2,1,3,6,1,1,8,2
"TCGA.DJ.A3V5.01A",160,34,13,94,18,0,194,40,5,212,3,26,0,84,264,0,2,490,9,23,1,4,21,7,17,27,2,42,8,1,1,2,12,0,1,3,80,432,47,0,374,5,15,53,9,1,24,168,12,0,0,469,23,2,37,121,4,156,25,15,108,515,139,21,16,46,52,3,30,454,33,2,10,142,25,15,20,208,20,292,404,5,1,5,183,1,1320,104,1,0,281,59,64,183,1,2,2,69,31,34,220,1,2,3,35,0,445,37,34,15,20,107,0,1,2,136,28,1,396,165,5,1,35,129,139,4,18,92,87,0,20,18,49,18,274,43,108,657,15,17,290,1521,139,26,68,445,3,0,75,438,257,65,591,133,2,2,0,1,0,17,18,2,37,4,10,37,5,85,165,44,5,120,23,0,1,3,1,0,12,0,5,9,0,0,6,4
"TCGA.ET.A25K.01A",153,10,2,312,30,0,99,23,3,31,1,32,1,21,126,0,1,575,4,8,3,0,6,6,12,7,6,9,3,11,2,2,6,1,0,2,35,108,28,0,154,6,7,12,0,3,6,73,5,0,0,74,30,0,15,40,8,113,5,4,123,56,61,7,3,40,8,1,20,229,11,0,111,30,3,27,5,60,2,79,79,6,0,2,30,1,1271,31,0,3,59,21,25,55,1,0,5,10,12,6,126,1,0,6,9,0,69,16,11,3,7,37,0,0,1,15,13,7,94,25,6,0,11,115,44,6,8,15,27,0,9,6,23,4,99,32,8,135,0,133,35,278,197,1,21,92,1,1,2,111,40,11,171,27,0,0,0,3,1,4,27,1,1,11,24,7,3,8,15,2,1,30,9,3,0,0,0,0,0,0,0,5,0,5,7,5
"TCGA.DJ.A2PR.01A",63,78,6,186,27,2,350,63,21,411,1,95,0,234,367,0,0,641,23,15,11,0,15,28,10,28,5,177,6,2,8,2,10,0,3,3,117,247,43,3,716,5,17,23,1,9,74,211,40,3,3,213,229,0,79,293,40,1441,74,42,203,212,197,111,25,398,99,8,20,472,7,4,57,26,183,189,69,267,32,777,457,5,0,33,441,0,2524,111,1,3,383,150,63,441,1,3,8,82,92,11,366,5,3,31,142,2,730,98,75,1,168,381,0,8,0,189,448,1,951,379,10,13,122,135,181,12,25,101,255,0,150,42,573,42,800,55,104,1372,20,78,325,2742,149,44,196,1326,0,5,49,3789,303,160,896,547,32,0,0,5,0,4,134,3,3,124,149,71,15,236,97,30,2,2255,47,2,0,0,3,1,2,1,0,42,6,4,148,16
"TCGA.KS.A4I9.01A",146,9,2,61,21,3,122,23,0,78,1,15,0,86,267,1,0,236,1,31,1,1,17,15,8,12,3,17,2,4,0,3,2,0,3,1,78,249,25,0,305,5,13,20,5,1,26,139,3,2,1,13,23,1,30,82,4,201,42,24,222,154,111,7,11,40,39,0,15,298,11,0,8,37,33,10,4,203,5,223,234,6,0,3,80,2,679,52,0,0,217,84,33,90,2,1,4,30,24,25,272,2,2,2,23,0,222,197,21,1,12,120,0,4,3,66,65,0,281,119,3,10,31,97,97,15,6,103,95,1,35,13,74,9,162,42,40,259,5,24,153,949,135,8,49,343,0,0,71,627,146,9,725,68,2,0,0,0,0,3,124,1,8,10,13,16,3,43,105,50,8,5,23,1,6,1,0,0,0,0,1,15,0,0,10,4
"TCGA.ET.A39P.01A",149,5,3,226,27,1,99,21,1,43,0,20,0,35,178,0,7,304,2,9,0,0,7,7,0,6,4,6,5,2,0,0,4,0,1,6,56,129,23,1,351,8,30,5,1,1,8,122,12,0,0,17,18,2,16,85,7,168,20,3,142,379,122,5,6,26,15,7,5,323,4,0,10,43,5,5,3,242,0,110,120,2,0,6,37,2,981,35,0,1,148,24,80,44,0,1,24,15,15,8,119,5,1,1,10,0,194,106,15,0,7,40,0,2,0,46,26,3,186,47,1,3,11,115,49,4,9,49,57,0,16,5,10,15,76,15,24,150,2,1,56,644,104,11,18,118,0,0,52,1160,95,6,466,46,1,1,0,0,0,10,3,0,32,6,12,7,2,23,30,7,1,10,10,0,1,1,0,0,0,0,3,3,0,8,7,0
"TCGA.DJ.A2PY.01A",67,4,15,69,18,0,117,25,4,134,2,18,5,101,201,0,0,184,7,7,7,0,5,0,8,6,0,23,2,3,0,1,4,0,1,0,84,85,30,0,286,0,9,18,2,2,12,111,4,0,0,21,18,1,34,113,6,194,25,20,79,203,61,4,17,25,42,3,5,283,4,0,4,52,42,44,21,154,9,208,151,2,0,4,121,0,1464,61,0,2,136,43,40,52,6,2,6,20,15,4,165,7,0,8,39,3,337,34,25,3,15,117,0,3,0,82,43,2,341,113,2,2,17,57,60,4,7,80,35,1,40,13,68,6,148,28,47,914,3,28,144,1279,94,20,28,325,0,0,35,1457,113,23,328,60,0,0,0,0,0,9,9,0,55,18,12,35,3,49,61,24,1,18,50,2,0,0,1,0,6,0,9,4,0,1,16,1
"TCGA.ET.A40S.01A",146,55,0,111,15,2,215,34,25,142,1,92,4,333,573,0,4,371,34,40,8,1,13,32,15,28,2,52,47,15,4,0,23,2,3,2,107,317,33,3,494,18,75,25,8,11,40,356,30,1,5,412,486,2,46,217,12,1234,133,111,184,693,111,66,33,242,135,16,24,666,21,1,33,64,124,144,43,222,23,586,503,18,0,32,277,1,2837,244,0,3,428,222,65,536,1,2,7,76,110,17,343,11,2,21,47,0,564,283,46,2,86,483,0,3,0,230,955,6,664,455,4,60,78,114,200,20,248,119,283,0,71,50,250,10,597,118,142,1642,35,82,340,2137,274,49,217,1237,4,1,126,12599,327,63,1227,219,15,6,1,6,1,21,44,12,9,71,43,42,12,156,203,60,4,133,26,1,1,1,6,0,23,1,3,26,2,0,136,44
"TCGA.DJ.A2PW.01A",80,40,8,108,7,3,203,42,6,100,1,33,0,74,322,0,5,151,23,84,1,0,25,28,8,30,15,15,7,2,0,0,0,2,1,8,79,171,24,1,423,47,50,23,5,5,37,168,87,3,0,137,161,0,34,153,28,194,71,32,177,208,148,61,26,98,47,2,15,368,3,0,65,94,26,89,23,208,6,407,231,32,2,46,103,2,2043,103,1,1,257,94,78,165,0,1,18,25,35,30,151,7,2,43,43,0,393,90,23,5,47,107,0,7,0,134,350,0,346,128,90,15,33,120,217,31,5,69,242,1,37,40,113,21,323,42,23,692,215,131,95,1067,171,15,57,429,2,0,23,9052,126,15,874,540,0,0,2,5,1,52,69,5,37,26,46,30,10,67,26,12,1,9,42,2,1,2,1,0,0,0,0,15,0,2,118,9
"TCGA.DJ.A13U.01A",149,21,3,78,35,1,57,30,1,37,1,26,1,50,133,1,3,442,4,6,2,2,23,10,15,15,2,23,3,1,2,4,3,0,0,2,42,156,37,1,267,6,56,8,7,2,17,126,7,1,1,84,32,0,17,111,16,200,23,20,74,168,90,21,5,31,24,13,15,327,18,1,15,42,27,9,7,281,8,130,173,26,1,8,75,1,1088,26,0,2,177,39,80,207,0,0,0,18,23,3,123,2,2,11,16,0,179,25,23,4,13,103,1,5,0,43,49,1,241,81,4,8,18,117,94,15,11,51,75,2,30,16,42,16,148,24,32,252,1,34,151,645,92,15,35,226,0,0,47,851,113,30,306,184,1,1,0,0,1,1,23,4,7,13,28,11,8,23,74,26,0,21,10,0,0,0,0,0,12,0,0,7,0,3,15,0
"TCGA.ET.A40T.01A",612,71,26,98,37,5,286,59,27,217,7,52,1,252,597,4,3,840,26,20,42,3,25,44,37,78,57,111,4,6,9,7,25,1,21,13,120,356,57,4,693,26,353,25,15,21,66,398,92,0,2,904,143,12,97,219,35,1127,148,64,391,351,259,128,21,239,149,5,50,874,40,3,92,188,98,288,74,364,50,490,385,17,0,55,281,0,2904,168,1,7,464,212,98,465,2,6,11,82,98,20,380,74,4,94,51,2,494,300,163,7,47,396,2,4,2,175,606,13,568,385,8,27,154,215,196,50,47,139,346,0,94,59,288,20,664,53,98,641,37,1355,420,2199,420,25,189,953,4,0,94,2536,379,97,1282,391,34,2,0,3,2,79,98,4,23,153,64,39,26,171,136,52,11,301,42,0,0,1,2,2,161,1,0,39,3,3,211,51
"TCGA.BJ.A2N8.01A",700,30,4,88,33,2,129,111,0,33,1,73,0,63,231,0,5,821,37,12,2,0,20,5,61,13,3,12,8,5,1,2,8,4,3,3,46,368,49,2,322,30,61,17,0,7,35,92,3,0,0,12,200,0,46,56,3,318,43,11,203,55,128,85,9,94,12,11,15,380,11,0,25,113,1,37,5,466,2,494,151,5,4,9,27,3,872,40,2,4,190,95,143,288,0,2,5,9,37,25,231,4,0,3,8,2,166,126,13,2,7,124,1,9,0,47,13,0,139,50,4,0,20,150,79,15,15,33,49,1,37,15,55,16,212,47,8,188,1,81,43,735,126,11,8,99,0,0,28,100,53,21,706,64,0,2,0,2,4,3,117,1,20,18,39,5,3,15,12,3,18,8,17,0,1,0,0,0,2,1,11,2,0,3,5,0
"TCGA.BJ.A192.01A",665,376,228,100,27,20,63,113,1,98,0,16,0,55,426,0,9,385,16,10,5,1,30,15,148,2,2,5,5,2,0,0,0,0,4,0,42,179,31,0,280,80,4,13,1,2,297,179,5,0,0,4,35,2,47,40,35,61,43,2,101,67,139,92,15,1,7,3,7,314,3,2,6,27,3,15,1,126,3,257,59,7,3,3,9,3,874,28,2,2,158,47,30,42,4,0,23,0,13,11,229,2,1,5,2,3,104,114,7,0,2,66,0,4,0,60,8,3,203,13,0,0,15,32,110,8,44,18,31,5,28,23,28,1,43,17,1,23,0,0,42,497,82,9,6,51,1,1,51,65,21,4,666,103,0,0,0,63,2,9,90,3,3,9,15,4,0,6,2,2,0,1,34,1,1,1,1,0,0,0,0,5,5,0,4,1
"TCGA.EL.A4K4.01A",60,12,20,56,21,16,98,23,7,267,0,26,0,80,225,0,4,376,3,6,2,0,5,10,15,51,1,25,7,1,2,0,0,0,1,0,127,146,42,0,631,5,15,20,1,11,26,130,8,1,1,59,47,2,56,153,1,547,43,42,104,360,139,63,21,79,55,13,8,442,27,0,6,156,52,44,15,257,15,278,295,3,2,3,163,1,4555,44,0,1,359,56,97,356,1,0,0,42,43,8,407,3,0,2,18,1,869,290,26,4,40,124,1,4,0,106,100,4,353,144,2,7,28,173,113,4,30,247,86,0,37,11,114,8,226,11,59,757,49,9,148,1496,126,12,55,556,2,0,13,1007,189,30,1093,159,3,0,0,3,0,4,21,2,126,15,8,15,1,47,92,23,0,46,74,0,2,0,0,1,3,0,16,21,0,2,35,8
