"","LTF","NUGGC","SERPINA5","GCSAM","CCDC141","MUSK","BCL11A","KLRG1","RGS13","TOX","AICDA","RGS9","PSMA8","BCL11B","FGD2","FBP2","C22ORF15","PPP1R16B","CNR2","MADCAM1","DTHD1","NPHS1","KEL","GPR18","SLC1A2","SPIB","TCL1A","ZNF831","DNER","STAR","RTP5","MGAM2","CPA5","SLC13A2","FCAMR","BTN1A1","KBTBD8","LRMP","ANK1","KIR3DX1","IRF8","VPREB3","CR2","TXLNB","ZNF80","NLRP6","JAKMIP1","POU2F2","CD19","NLRP4","IL2","CCL19","CD38","SERPINA9","VNN2","RHOH","BLK","CD8A","LY9","CD40LG","CD79B","CD69","CD72","PLA2G2D","STAP1","PDCD1","SH2D1A","BFSP2","MEF2B","IL16","EXOC3L4","PLEKHG7","TNFRSF13C","ST8SIA1","THEMIS","GZMK","TRAT1","FCMR","GPR174","CD48","RUNX3","CHST8","HIST1H3J","FCRLA","ITK","DMRTA2","CXCR4","TESPA1","VRTN","CAPN14","TAGAP","C16ORF54","IL24","POU2AF1","LINC00282","FCRL4","CLEC17A","P2RY10","GZMM","TF","KLHL6","FCER2","C12ORF42","PAX5","BTLA","POU4F1","CYTIP","CCL4L2","FCRL3","HSF5","SCML4","CD247","HEPACAM","SLC12A3","SLC35G3","SP140","CD79A","IL17REL","IKZF1","CD3D","TNR","TNFRSF13B","PYHIN1","MYBL2","CCR7","FAM129C","KCNA3","CD28","LAG3","ABCB11","CRTAM","AIM2","SLAMF6","AC119396.1","LCK","TMEM156","ICOS","IL7R","PNOC","MS4A1","TIGIT","PTPRC","RASGRP2","NCR3","CARMIL2","CD3E","CXCR5","REG4","TLR10","JCHAIN","CD5","UBD","CD37","IDO1","TTC24","DDX4","TMEM95","BEND4","NLRP11","NPTX1","ADAMDEC1","AC010616.1","ALPK2","EOMES","TIMD4","FLT3","FCRL1","SIRPG","CTLA4","LTA","INSM1","CXCL13","CR1","ZPBP2","LGALS9B","P2RX2","ISL2","CLEC4C","FDCSP","RGS7","SORCS3","P2RX5","UGT2B17","SHISA8","FCRL5","FCRL2"
"TCGA.ET.A3DO.01A",206,286,15,185,33,1,149,95,30,301,4,57,2,384,549,0,2,765,37,6,47,2,26,56,56,139,23,165,12,6,8,1,8,1,5,31,129,798,75,4,1023,24,144,80,9,16,126,716,312,2,3,1257,1373,5,117,509,107,1247,509,165,707,639,265,285,55,503,322,40,39,1634,44,1,165,248,173,571,201,448,85,1242,806,11,0,358,567,0,4576,236,0,4,968,533,139,2463,1,15,24,213,220,18,977,34,6,66,194,2,1050,763,272,4,113,788,0,49,0,379,4837,3,1283,785,4,73,206,374,716,40,209,304,683,1,95,154,751,16,1103,292,229,1607,267,529,833,4382,281,69,332,1860,17,2,191,23429,863,581,1380,1891,15,0,1,5,3,8,465,13,15,184,60,110,42,240,320,137,12,1644,39,1,1,0,18,3,39,0,0,98,10,4,1519,127
"TCGA.EL.A4KH.01A",231,3,5,55,33,0,275,61,2,35,1,99,5,49,172,0,3,364,10,49,4,8,10,5,13,21,8,9,4,15,0,2,8,0,0,2,60,154,32,6,355,12,4,15,2,5,12,158,2,1,0,21,32,0,27,114,4,76,37,8,303,63,300,40,0,49,15,7,63,325,21,0,56,16,6,7,0,108,0,505,226,15,0,1,20,0,931,64,0,1,94,44,37,60,0,0,6,7,60,26,163,7,2,0,8,0,247,88,6,1,9,111,3,3,5,53,17,1,110,129,2,5,24,135,89,30,0,26,108,0,30,8,28,11,184,43,15,209,9,4,44,265,387,8,55,212,2,0,30,64,134,11,783,47,4,0,0,7,0,0,57,3,4,6,63,12,2,25,40,15,0,4,17,5,8,0,0,1,0,0,0,5,0,4,1,0
"TCGA.CE.A3MD.01A",311,30,0,87,24,3,351,39,4,40,1,94,0,110,353,0,7,771,12,37,4,10,7,40,67,5,2,44,3,9,0,3,11,0,5,3,80,351,42,3,270,15,32,17,1,0,10,300,9,0,1,10,59,0,18,88,3,485,42,40,333,184,150,7,11,63,69,5,26,682,17,3,34,130,60,76,9,126,13,338,148,16,2,2,113,1,1843,49,1,8,315,118,44,24,0,1,20,24,59,21,249,3,5,0,18,0,199,177,12,2,30,156,0,3,2,73,15,3,351,197,1,8,61,171,108,24,8,57,118,0,27,18,88,7,325,61,35,134,1,10,85,1049,275,9,73,581,1,0,80,526,169,9,907,126,7,2,4,3,1,1,2,1,1,37,32,11,4,37,51,21,0,6,26,0,0,0,1,0,0,0,0,5,0,2,5,5
"TCGA.E3.A3DZ.01A",188,107,2,245,71,2,382,84,0,15,0,13,0,485,103,0,2,549,47,35,1,1,17,9,88,5,0,13,15,11,1,6,7,0,0,6,90,317,44,2,73,15,21,6,1,5,47,75,2,0,0,26,636,0,15,18,4,169,6,13,188,40,139,1,0,177,12,1,24,335,6,1,30,15,13,7,8,76,5,37,46,5,1,1,53,0,2609,40,0,2,57,13,15,148,0,0,1,8,25,18,53,0,0,1,12,0,106,31,12,5,2,30,0,0,0,17,9,2,60,30,1,0,5,120,53,8,16,6,31,0,10,0,24,18,245,30,8,124,0,7,15,197,166,2,20,80,1,12,2,259,30,4,73,185,2,1,2,6,4,11,11,1,0,4,13,4,1,9,16,1,0,15,8,0,2,1,0,0,0,0,0,3,0,1,15,1
"TCGA.EL.A3CP.01A",196,18,2,139,30,0,241,49,2,50,0,15,0,35,144,1,0,243,7,33,0,0,16,10,6,7,1,5,15,1,0,3,9,0,0,3,71,158,21,1,101,4,4,32,0,0,8,88,1,0,0,13,23,0,4,55,1,118,8,7,82,133,98,5,4,5,11,2,15,213,11,0,10,55,12,6,0,53,1,56,171,5,4,1,51,1,970,25,1,3,92,21,21,115,1,1,5,10,9,23,156,0,0,2,8,0,139,40,4,1,3,27,0,1,1,51,15,0,115,40,1,4,7,39,59,11,12,34,26,0,4,1,20,15,61,26,12,85,21,1,56,562,135,7,23,98,0,4,30,30,73,4,220,103,1,0,0,92,0,2,0,1,9,1,4,7,1,15,30,17,3,4,9,1,0,0,0,0,0,1,1,2,0,0,1,0
"TCGA.DJ.A2PN.01A",203,15,10,198,25,2,184,40,2,168,2,31,1,61,190,0,3,824,10,21,2,0,16,10,9,15,0,28,32,1,0,2,10,0,1,0,86,725,47,5,328,12,35,7,5,4,24,118,6,1,0,21,65,0,84,65,7,225,43,20,95,121,89,13,2,47,15,6,21,300,16,2,21,76,27,21,12,186,6,228,389,40,0,5,69,2,907,80,0,4,161,64,75,98,0,1,5,21,33,34,231,4,1,8,10,2,193,71,9,3,23,105,0,0,1,61,23,1,242,61,6,2,39,142,95,8,30,46,55,1,26,13,74,8,219,59,21,239,3,18,82,818,206,6,40,257,2,1,25,450,111,6,310,105,2,0,2,0,2,4,26,2,2,15,67,25,5,21,32,15,3,3,12,5,1,0,1,0,0,0,0,6,1,0,4,4
"TCGA.EL.A3ZQ.11A",2188,853,268,413,117,21,475,150,69,425,52,238,5,531,822,1,25,1542,85,165,139,55,55,47,127,134,156,200,16,35,25,5,166,3,47,7,201,644,81,4,1080,99,1029,76,143,21,144,533,222,9,13,1123,358,30,133,332,259,1031,275,78,372,468,287,146,108,137,253,21,68,1275,64,6,168,346,162,364,92,484,76,703,635,28,16,211,405,4,2032,222,5,11,831,393,105,1014,17,17,25,128,172,193,471,73,9,270,40,9,658,206,206,5,81,317,1,12,1,278,2526,23,1003,264,15,137,142,104,121,137,160,84,790,8,92,95,254,42,545,163,92,1824,113,1063,244,3132,609,46,327,1247,20,9,144,26901,315,69,1115,409,21,2,13,25,15,53,92,13,44,113,34,47,165,84,39,146,3,431,103,1,1,3,21,1,455,2,1,52,11,9,346,175
"TCGA.BJ.A3PR.11A",9634,335,362,441,47,2,869,211,1207,562,228,317,9,491,620,42,7,1108,207,25,21,172,142,367,160,2258,2443,201,163,53,98,1,55,6,670,10,281,2387,203,21,3706,2105,4956,59,4,28,181,4852,3655,118,1,9726,1003,988,529,1404,823,1260,465,98,8528,676,1402,2065,536,1215,510,312,305,2700,337,16,1822,337,66,876,136,1466,26,2829,1357,78,21,1849,447,21,5183,383,43,11,441,671,519,4639,2,126,131,118,592,183,1505,1029,26,1426,253,25,1029,555,1035,15,134,1249,0,42,20,905,14428,13,1891,2787,31,561,257,2336,973,642,65,353,1945,8,142,493,712,28,2046,406,300,601,798,5234,1102,2405,1752,238,1031,2653,18,0,590,39400,596,839,4436,986,13,9,6,23,13,13,499,17,200,300,398,74,183,353,515,289,8,3591,172,23,20,6,31,23,7483,1,6,929,13,107,649,409
"TCGA.KS.A41J.11A",2255,740,111,288,146,11,709,181,18,516,15,86,16,698,1086,4,7,1714,107,50,51,17,66,73,79,156,117,293,50,11,16,7,9,2,31,21,228,520,92,4,1073,56,812,87,10,21,171,423,181,1,4,1811,967,0,71,285,140,1355,215,143,315,681,282,571,71,288,270,23,34,1225,53,4,197,322,165,254,118,752,82,665,682,47,6,80,520,0,2573,290,0,7,929,422,124,796,5,8,40,153,126,49,485,107,6,222,111,1,562,722,148,11,92,392,2,20,2,274,1066,15,836,367,49,105,206,81,431,97,126,250,418,4,84,84,391,34,695,110,196,1131,57,914,724,3647,353,35,234,1180,17,2,196,16548,476,387,1085,1183,37,1,2,12,2,63,252,10,27,149,34,44,126,159,213,61,21,620,105,1,3,8,8,4,186,1,0,42,8,3,389,84
"TCGA.EL.A3MY.11A",1086,325,288,367,61,6,201,66,0,363,1,89,1,270,322,0,10,1063,97,16,9,0,16,11,84,0,2,30,2,3,4,0,1,0,0,4,71,228,56,4,345,10,18,44,0,9,85,61,8,0,5,52,335,0,21,63,42,418,25,75,63,409,121,3,1,59,24,17,21,405,15,2,1,173,80,31,20,121,8,153,163,23,3,1,113,1,1293,61,0,2,193,18,32,61,3,0,1,8,20,25,80,4,1,0,31,0,261,110,5,1,31,86,3,1,1,37,9,1,248,35,15,3,34,24,23,5,37,28,21,0,27,4,61,15,126,8,25,684,6,16,20,650,173,5,32,226,0,0,3,292,35,5,161,73,1,1,0,3,3,10,6,1,0,20,28,3,1,34,15,2,1,1,8,2,2,0,0,1,0,1,3,3,0,0,0,0
"TCGA.BJ.A2NA.11A",7522,338,153,325,74,20,537,181,61,555,135,137,2,649,603,7,2,1970,148,783,55,92,66,198,184,1014,478,348,73,15,24,7,42,1,393,11,222,919,146,24,1636,245,3261,46,21,21,98,1223,937,18,11,5735,460,92,217,801,549,1592,485,232,1822,692,420,743,270,554,466,71,33,2376,51,12,855,376,225,724,150,1546,134,2081,1125,42,0,949,547,5,4740,454,17,15,737,491,295,1580,3,82,151,285,249,59,607,553,15,1306,250,0,857,107,409,10,146,833,3,27,0,523,3363,39,1945,921,90,201,271,391,882,259,100,457,507,3,184,201,771,66,1402,144,165,1318,142,3293,922,5997,606,84,450,2609,104,9,522,12794,916,403,2897,833,25,2,0,66,7,82,437,12,95,278,127,68,198,303,139,118,23,2113,197,3,5,15,3,2,2292,4,5,211,2,9,379,118
"TCGA.EL.A3GZ.11A",666,520,94,293,86,11,376,87,0,278,0,104,1,277,380,0,4,611,18,10,15,2,20,12,71,18,2,49,8,2,0,2,7,0,0,3,148,212,34,0,121,12,30,16,1,3,46,98,12,0,1,63,171,0,25,57,11,425,57,37,39,203,95,23,5,65,23,21,15,437,4,0,3,142,43,31,15,104,18,161,148,10,1,6,79,2,543,65,0,6,156,66,23,30,1,0,3,23,35,15,78,0,0,5,11,0,120,84,8,0,17,107,2,5,0,44,32,1,197,57,9,2,23,9,55,3,49,26,95,1,21,2,65,9,151,6,31,351,15,17,73,670,121,13,30,250,0,0,10,382,84,25,139,171,2,1,1,0,0,24,15,1,0,18,5,2,1,9,15,6,2,21,10,0,0,0,0,2,7,2,4,0,0,0,17,2
"TCGA.EL.A3T8.11A",2457,816,322,133,76,10,386,139,3,285,1,136,8,422,416,2,15,931,122,37,9,0,31,23,103,20,3,94,6,9,5,0,2,1,1,9,88,232,40,2,359,21,13,63,8,7,117,131,17,1,3,175,197,0,17,56,35,848,61,49,61,166,181,25,8,90,49,25,23,597,13,1,9,156,56,97,11,196,24,211,197,17,10,5,113,1,688,126,0,5,219,85,55,118,6,0,5,34,42,28,168,3,0,7,31,0,139,280,26,6,30,123,6,6,1,55,76,2,261,103,3,4,21,55,106,4,25,46,133,0,33,11,81,23,234,23,33,312,1,32,98,857,205,17,55,335,1,0,23,1162,113,21,350,413,8,2,2,2,5,10,111,3,0,49,61,12,0,40,44,13,1,15,7,0,3,23,0,1,0,0,1,5,0,0,4,2
"TCGA.EL.A3TB.11A",936,1153,348,970,156,7,283,158,3,553,2,74,2,353,1735,1,12,1441,55,30,20,2,33,21,85,20,2,133,13,3,10,1,7,2,0,8,175,422,85,6,510,31,59,110,18,7,135,222,24,0,4,564,682,0,37,160,142,1127,161,49,179,523,179,50,32,86,126,27,18,1019,21,1,50,201,103,325,25,262,30,544,406,16,2,21,220,0,2560,98,0,5,484,234,55,409,5,0,3,60,94,49,255,5,8,11,33,2,335,222,56,3,57,225,4,3,3,94,679,3,457,179,10,49,98,25,106,11,61,74,94,0,40,11,203,17,376,122,63,897,37,153,146,1407,356,13,85,686,5,1,37,17082,143,35,391,434,2,1,2,1,6,8,17,4,2,92,17,61,11,34,33,8,0,27,16,1,1,17,3,1,5,0,2,42,3,0,184,33
"TCGA.EL.A3ZT.11A",1665,1028,193,133,80,6,500,120,2,498,1,90,6,428,573,1,15,1014,185,43,20,0,49,7,150,13,0,74,4,5,4,2,0,2,1,11,101,384,30,2,162,9,23,44,7,8,94,76,7,0,2,66,433,0,12,61,4,769,46,23,26,184,165,1,2,84,27,16,28,341,8,0,4,223,99,21,4,142,34,160,154,20,3,1,205,2,1143,66,1,4,206,63,42,148,2,0,3,11,35,31,103,0,2,0,34,1,184,37,5,6,61,130,1,3,2,35,9,1,310,84,9,0,28,13,123,8,33,13,43,1,23,9,97,34,189,12,15,1333,2,37,31,806,181,1,60,385,3,4,7,103,98,3,288,253,2,2,0,2,1,11,17,0,1,32,32,8,0,20,4,2,2,4,7,0,0,0,0,1,4,2,0,1,0,3,3,1
"TCGA.DO.A1JZ.11A",1067,376,7,2113,139,12,2628,59,0,491,0,52,0,190,1479,0,2,991,12,21,1,0,23,2,74,1,0,25,1,3,0,2,3,0,0,5,105,267,12,3,778,13,9,13,2,2,47,50,5,1,0,25,229,0,25,25,28,425,15,8,40,33,76,10,1,37,5,12,7,293,0,0,3,39,15,12,6,150,6,80,80,3,0,0,61,2,657,90,1,3,76,30,40,42,3,0,1,5,12,4,133,3,1,1,6,0,100,159,7,7,5,44,0,7,0,16,10,0,133,37,9,1,12,34,56,7,31,13,49,0,8,3,55,5,52,9,10,194,2,4,33,332,55,2,27,122,0,1,4,173,42,12,172,322,1,1,0,0,0,2,73,0,1,10,10,9,0,10,16,1,0,7,11,0,4,0,0,0,2,5,2,4,0,0,2,0
"TCGA.H2.A2K9.11A",5823,1436,222,715,126,33,732,211,348,1212,120,177,21,1075,1049,8,18,2484,413,318,166,94,78,184,298,591,616,611,159,24,49,15,49,4,249,26,379,1840,232,12,2721,317,5903,135,21,47,259,1516,687,57,5,3941,790,236,392,801,584,2165,485,249,1073,841,624,974,270,641,587,52,94,2643,80,17,907,515,322,959,239,1721,257,1927,1383,27,6,644,976,11,6644,576,13,23,1433,530,338,2342,28,40,171,295,245,133,1855,353,13,1782,445,10,1788,315,901,21,220,862,5,28,3,696,2915,50,2815,806,171,151,360,718,1212,286,171,616,468,17,280,208,981,168,1616,226,285,2899,136,3957,1071,8860,838,66,543,2403,56,2,425,19660,818,596,3036,1153,55,6,0,68,15,94,740,17,126,579,274,108,381,360,300,66,37,2192,343,7,7,4,3,5,1314,4,0,338,2,23,676,222
"TCGA.EL.A3ZG.11A",1273,44,23,149,30,8,325,37,1,92,1,23,1,120,312,0,3,197,39,13,4,3,17,3,30,10,2,18,0,6,1,0,9,2,4,1,17,69,16,1,90,10,4,16,0,0,60,65,6,0,0,78,71,0,5,15,21,100,21,13,23,79,106,0,2,21,12,9,8,154,8,1,3,60,8,6,7,34,3,92,84,23,1,1,24,0,238,43,0,0,49,25,10,50,0,1,0,5,34,16,25,5,1,4,3,0,71,64,6,0,4,74,2,1,6,13,12,0,61,50,2,1,15,12,21,6,3,11,50,1,2,1,6,3,53,6,9,94,1,5,12,130,107,8,23,119,3,0,3,21,25,2,74,24,5,1,3,0,1,2,4,1,1,6,18,6,2,9,4,5,2,13,1,0,4,1,1,0,0,0,2,3,0,2,1,1
"TCGA.EL.A3MW.11A",1323,748,637,239,92,10,349,69,5,460,3,80,3,506,1020,2,9,565,42,15,24,1,12,17,121,52,3,110,4,3,5,8,9,1,1,7,126,194,42,0,450,9,87,42,2,5,60,108,9,2,1,370,205,0,20,133,46,1049,119,80,49,360,106,37,6,69,86,12,6,601,11,0,7,497,151,119,30,159,25,464,345,15,2,0,293,1,1977,135,0,2,255,90,40,111,3,0,6,92,68,21,190,1,2,5,13,1,353,257,15,4,65,208,0,2,0,71,12,3,519,200,4,0,61,42,97,10,63,99,107,0,47,12,113,9,333,16,144,755,4,66,143,1795,142,13,66,702,0,2,35,341,239,71,405,255,1,1,1,1,2,2,121,3,3,15,8,32,1,30,21,6,1,24,5,0,1,1,2,0,47,3,1,1,1,0,3,0
"TCGA.BJ.A28R.11A",4780,1240,231,555,113,43,554,340,300,1127,213,212,21,1295,863,17,15,2749,262,42,146,121,76,409,249,688,631,735,35,27,34,11,47,3,411,33,426,1739,118,10,2538,319,5968,126,43,40,191,1341,835,101,6,5652,988,267,455,1180,653,3954,763,242,1633,1080,423,571,290,639,749,74,89,3808,92,26,845,562,441,1597,343,2355,288,2941,1676,34,4,752,1263,8,4423,604,15,16,1254,992,422,2767,9,27,89,436,385,105,1721,343,31,1597,370,10,1496,337,657,25,264,1202,5,25,0,790,4326,46,3204,1316,40,241,452,931,1270,277,277,649,653,3,323,259,1587,105,2446,419,308,4007,193,3873,1457,10494,943,64,641,3954,86,1,562,52981,1289,641,3238,1914,78,1,1,79,15,21,442,10,63,670,194,126,220,495,262,99,9,1641,384,6,0,9,12,3,1801,0,5,362,32,15,812,171
"TCGA.EM.A1YC.11A",1546,215,100,126,59,11,391,78,7,353,1,126,5,442,358,4,6,623,115,82,28,0,39,57,42,71,24,227,2,16,7,1,49,1,0,6,55,306,30,7,622,20,9,65,16,10,148,298,21,0,6,3028,501,1,47,253,55,1955,245,122,190,1298,261,198,6,380,315,35,24,1152,26,0,23,434,223,647,156,274,55,1449,630,122,3,51,359,4,4531,346,0,2,519,278,44,105,2,0,4,86,348,30,178,5,1,23,104,2,562,274,151,1,133,493,1,24,0,188,177,3,798,744,8,15,242,53,351,20,12,175,478,2,110,74,438,13,779,49,129,988,10,201,495,2038,379,16,222,2527,2,15,80,1275,551,259,1097,1559,15,0,3,1,1,5,79,1,1,140,31,69,8,221,151,63,7,479,7,3,4,3,0,0,1,0,5,26,0,0,15,8
"TCGA.ET.A2MX.11C",1556,588,87,207,67,5,645,76,1,227,0,78,9,442,641,0,2,670,133,55,15,3,25,15,57,24,4,88,7,4,2,0,9,1,0,5,126,341,24,0,261,21,61,34,2,11,111,148,8,0,6,281,150,0,34,81,64,847,74,47,79,209,227,25,3,94,92,23,18,523,20,1,20,142,75,206,47,168,23,314,197,24,3,2,139,1,1115,78,0,3,271,126,46,118,3,2,3,37,84,31,103,0,2,4,16,0,213,142,10,6,37,162,1,5,2,61,61,2,219,140,1,8,67,16,60,5,23,63,122,0,43,16,117,11,264,37,40,407,13,31,137,807,156,7,66,577,5,0,18,4275,130,28,310,333,7,0,0,3,4,4,8,3,1,76,13,12,2,55,30,11,0,10,8,0,0,0,0,0,3,1,0,10,0,0,26,4
"TCGA.BJ.A290.11A",2387,1746,310,144,75,25,533,114,2,310,1,75,5,562,680,0,15,1218,338,71,27,0,33,21,140,11,5,111,9,5,2,2,2,1,5,10,117,368,52,1,418,28,51,61,1,7,46,186,13,0,1,222,257,0,40,88,85,735,80,32,88,92,188,16,3,64,80,8,21,734,24,1,17,317,123,82,25,239,37,412,254,55,3,1,172,3,549,107,1,5,270,122,59,129,1,0,15,32,80,67,129,13,2,15,32,1,185,28,23,1,32,213,6,3,1,56,24,7,478,171,2,4,67,34,98,9,71,111,66,1,37,18,137,23,303,21,33,507,21,61,67,1275,220,7,60,571,0,6,31,916,178,43,345,915,4,1,1,6,3,9,35,1,1,40,42,21,3,35,17,10,2,8,30,0,0,51,3,1,0,3,1,5,2,0,3,4
"TCGA.EL.A3TA.11A",3007,407,82,409,50,6,564,129,6,222,2,110,4,471,1237,0,11,440,376,23,20,9,52,16,55,60,5,74,61,7,4,3,40,3,2,12,193,197,32,3,471,27,53,16,5,9,84,128,23,0,3,392,92,0,44,92,27,618,68,39,52,264,178,26,5,97,40,15,23,429,4,2,27,115,33,88,20,303,15,353,281,21,2,6,133,0,1325,84,1,5,206,106,69,105,5,0,5,27,46,44,262,8,7,11,17,1,259,274,55,3,24,207,3,6,4,71,74,3,277,135,40,2,52,37,114,25,18,46,472,0,37,13,85,15,199,18,53,345,10,53,169,970,211,15,74,437,3,0,26,346,156,68,525,956,8,0,1,1,1,40,199,5,3,23,98,28,4,42,59,12,10,31,15,0,2,2,0,1,53,3,0,7,0,0,9,1
"TCGA.BJ.A2N9.11A",3352,384,136,383,146,37,661,259,63,1270,74,206,4,1833,1272,8,4,2273,340,128,139,103,108,350,113,1251,887,713,11,33,90,9,107,7,353,49,281,997,172,11,3583,785,3384,113,46,97,215,1838,1434,12,8,11860,730,90,330,1766,885,4145,1168,677,2814,4076,752,1496,317,1597,974,74,43,4790,160,11,1505,637,407,1728,468,3747,197,4848,2571,34,5,827,1453,4,18883,914,9,15,2804,1351,766,3877,12,31,163,536,765,63,1101,737,31,1592,484,2,2665,2418,773,39,274,2463,4,46,1,986,9791,32,3056,2782,40,553,707,426,2185,602,252,1096,1589,10,409,374,1560,139,4081,418,657,3719,318,3772,2418,10334,2167,239,1130,7805,156,4,683,21763,2455,1099,7950,2551,64,4,0,53,3,106,758,34,74,485,448,253,396,1031,675,272,26,2777,301,2,15,16,15,17,1125,1,3,282,13,53,838,305
"TCGA.BJ.A3PU.11A",1195,206,84,379,71,4,433,79,0,261,2,89,3,341,959,2,8,1003,137,44,24,1,40,20,31,3,5,67,8,6,4,3,7,3,0,5,105,368,55,1,447,4,15,23,1,3,120,158,12,0,4,374,175,1,18,90,37,1036,44,43,75,267,154,9,4,92,44,71,31,450,12,0,5,78,67,75,7,172,24,228,189,28,1,6,100,2,743,84,0,3,219,74,43,64,4,0,3,15,55,40,111,7,1,5,23,1,158,142,15,3,40,186,4,5,1,53,23,9,253,126,1,0,51,28,80,9,64,44,64,0,31,5,69,21,211,10,26,367,10,101,63,985,208,3,73,356,1,1,12,1218,107,35,230,440,5,1,0,5,6,6,52,0,4,26,44,16,1,34,28,11,0,20,24,0,0,3,3,0,1,0,0,3,1,0,10,1
"TCGA.EM.A1CT.11A",1758,871,338,1097,129,2,481,68,0,120,3,82,2,161,1190,1,13,1227,68,21,11,1,21,8,61,2,6,154,7,8,0,1,1,2,0,2,117,146,24,0,234,28,33,84,3,4,61,68,5,1,4,42,341,0,10,42,63,298,21,17,37,156,73,0,1,50,27,21,7,507,11,0,4,63,49,46,3,86,7,139,85,40,0,1,76,2,755,65,0,2,95,40,25,52,0,0,0,12,27,31,40,0,0,0,17,0,103,21,6,5,28,53,2,1,0,20,21,2,181,56,3,3,16,30,39,5,11,16,21,0,6,3,74,8,99,7,9,499,12,23,23,261,124,2,23,259,2,0,3,747,44,4,119,391,0,0,0,4,4,6,2,1,1,11,23,3,1,11,8,2,0,4,3,0,0,7,0,0,2,0,7,3,0,0,0,0
"TCGA.EL.A3ZS.11A",12223,479,368,999,121,15,1153,219,1240,981,353,519,63,947,1402,52,23,1733,427,181,64,396,278,757,265,2532,6730,437,99,52,84,5,238,15,1654,60,362,4139,238,30,11761,2940,6635,80,7,119,69,4731,4864,193,8,22289,1794,1063,949,3995,2337,2088,2145,476,8091,3481,2113,1662,1422,787,905,403,220,3610,407,42,4119,366,196,1036,510,4926,34,7991,3681,84,30,3145,1932,12,33644,982,40,25,2426,677,1801,5968,5,88,150,534,735,236,3028,2958,89,2259,951,9,6665,1822,1678,21,688,2074,6,126,25,1857,14746,18,3629,4571,42,1113,330,2803,4643,1967,188,959,1332,1,649,775,1609,21,3481,996,1137,6704,959,11392,2439,6390,4598,429,1450,5244,21,31,644,21416,1357,847,10728,1505,37,6,17,47,21,65,885,47,211,193,1106,290,667,1000,1571,295,21,7750,411,40,1,34,24,61,14926,6,1,2290,65,450,1776,553
"TCGA.BJ.A2N7.11A",1464,523,146,356,118,4,833,94,0,349,1,92,4,472,1089,0,10,1531,40,65,7,1,23,11,113,7,10,117,4,6,4,4,10,3,3,11,184,292,25,3,287,18,39,37,4,12,98,124,13,0,4,57,327,2,40,92,47,1137,76,92,80,503,173,17,6,142,47,24,23,441,4,0,17,134,191,37,15,168,30,409,231,13,1,7,261,3,2241,120,0,4,314,78,40,99,3,0,9,26,47,32,113,10,5,15,50,0,356,247,20,2,113,236,0,11,0,71,34,1,654,197,2,0,44,35,123,23,42,31,61,0,39,5,264,17,250,24,40,1885,5,60,42,1023,146,10,80,753,0,0,23,94,106,16,304,221,1,2,1,3,3,4,42,1,16,27,21,21,4,40,30,10,1,16,10,0,0,0,0,0,5,8,5,6,1,0,7,3
"TCGA.EL.A3ZH.11A",3154,886,171,248,51,13,332,103,5,323,4,56,7,423,1776,0,16,400,31,32,34,1,44,7,18,28,6,51,3,8,0,1,21,1,4,8,177,234,21,1,304,12,15,26,15,11,61,85,5,0,6,40,94,0,52,64,57,634,50,31,23,243,114,21,1,81,27,18,20,433,12,2,6,37,46,39,15,163,9,171,221,4,1,0,128,3,1526,65,0,4,208,60,40,71,4,0,1,25,17,34,282,1,3,3,11,3,203,642,31,4,37,103,3,6,2,39,10,0,301,65,2,1,16,28,89,3,23,21,241,1,20,21,86,12,100,30,21,945,15,13,64,815,181,4,30,298,2,3,7,135,63,30,380,598,1,0,0,0,0,0,153,1,2,21,113,18,4,26,34,0,0,61,23,1,1,9,1,0,21,1,1,3,0,0,4,2
"TCGA.ET.A3DW.11A",1271,213,87,374,63,3,271,46,0,90,0,55,18,228,363,0,10,682,80,10,4,1,8,11,88,4,1,90,3,3,1,0,4,1,0,2,53,165,35,0,406,5,15,46,0,6,68,37,3,0,0,28,217,0,13,42,57,433,32,37,30,43,56,18,5,59,26,15,15,281,3,0,3,267,85,15,11,115,15,160,124,10,0,1,71,1,223,56,0,4,87,53,30,55,0,0,1,6,32,12,61,2,1,3,15,0,80,21,4,2,34,104,4,0,0,26,10,0,203,57,2,0,18,30,39,4,21,34,23,0,15,2,49,3,120,6,16,389,3,40,15,544,94,3,26,271,0,0,3,74,103,2,129,30,1,0,1,2,0,18,16,1,0,23,39,2,1,6,1,7,0,3,6,0,2,0,0,0,1,6,0,4,0,0,1,0
"TCGA.ET.A2N5.11B",2072,600,151,259,111,5,534,107,2,590,1,42,5,509,393,1,17,1061,23,32,7,0,25,10,46,3,1,60,3,5,1,3,5,2,2,6,106,215,12,2,184,26,30,33,3,9,92,63,2,0,3,20,267,0,8,57,24,520,32,33,46,71,151,0,2,123,30,30,12,259,7,0,2,92,50,23,5,122,16,203,133,42,0,0,135,0,781,98,0,3,149,56,26,40,2,0,1,8,52,37,63,1,1,0,20,0,203,28,8,3,86,133,1,2,0,26,4,0,301,127,6,1,21,21,85,4,24,9,21,0,25,6,103,11,165,7,15,1526,5,21,15,567,148,6,42,405,0,1,6,50,73,3,161,1168,4,0,0,1,0,5,2,0,0,18,8,15,0,23,2,3,2,2,8,0,0,1,0,0,2,1,2,5,0,0,1,0
"TCGA.EM.A3ST.11A",1644,146,137,117,40,6,285,60,0,217,0,46,1,186,443,1,11,270,30,42,2,0,25,6,35,15,3,65,7,3,2,1,1,2,0,3,27,181,24,0,198,17,27,35,2,3,98,97,10,0,0,405,79,0,9,68,25,575,55,27,100,122,100,50,7,71,44,17,25,477,28,3,10,271,32,105,16,106,4,253,111,20,0,7,69,2,773,63,2,4,121,53,32,244,2,0,1,23,80,27,57,1,2,3,24,2,165,49,8,1,24,129,1,6,3,63,171,1,172,168,2,25,23,25,67,17,17,31,57,0,16,4,46,6,217,30,30,186,21,53,57,288,206,6,53,341,2,0,17,4886,110,28,205,171,1,2,0,1,3,1,15,1,1,25,34,28,1,21,21,4,0,39,2,0,0,0,3,2,1,0,7,13,1,0,46,5
