"","LTF","NUGGC","SERPINA5","GCSAM","CCDC141","MUSK","BCL11A","KLRG1","RGS13","TOX","AICDA","RGS9","PSMA8","BCL11B","FGD2","FBP2","C22ORF15","PPP1R16B","CNR2","MADCAM1","DTHD1","NPHS1","KEL","GPR18","SLC1A2","SPIB","TCL1A","ZNF831","DNER","STAR","RTP5","MGAM2","CPA5","SLC13A2","FCAMR","BTN1A1","KBTBD8","LRMP","ANK1","KIR3DX1","IRF8","VPREB3","CR2","TXLNB","ZNF80","NLRP6","JAKMIP1","POU2F2","CD19","NLRP4","IL2","CCL19","CD38","SERPINA9","VNN2","RHOH","BLK","CD8A","LY9","CD40LG","CD79B","CD69","CD72","PLA2G2D","STAP1","PDCD1","SH2D1A","BFSP2","MEF2B","IL16","EXOC3L4","PLEKHG7","TNFRSF13C","ST8SIA1","THEMIS","GZMK","TRAT1","FCMR","GPR174","CD48","RUNX3","CHST8","HIST1H3J","FCRLA","ITK","DMRTA2","CXCR4","TESPA1","VRTN","CAPN14","TAGAP","C16ORF54","IL24","POU2AF1","LINC00282","FCRL4","CLEC17A","P2RY10","GZMM","TF","KLHL6","FCER2","C12ORF42","PAX5","BTLA","POU4F1","CYTIP","CCL4L2","FCRL3","HSF5","SCML4","CD247","HEPACAM","SLC12A3","SLC35G3","SP140","CD79A","IL17REL","IKZF1","CD3D","TNR","TNFRSF13B","PYHIN1","MYBL2","CCR7","FAM129C","KCNA3","CD28","LAG3","ABCB11","CRTAM","AIM2","SLAMF6","AC119396.1","LCK","TMEM156","ICOS","IL7R","PNOC","MS4A1","TIGIT","PTPRC","RASGRP2","NCR3","CARMIL2","CD3E","CXCR5","REG4","TLR10","JCHAIN","CD5","UBD","CD37","IDO1","TTC24","DDX4","TMEM95","BEND4","NLRP11","NPTX1","ADAMDEC1","AC010616.1","ALPK2","EOMES","TIMD4","FLT3","FCRL1","SIRPG","CTLA4","LTA","INSM1","CXCL13","CR1","ZPBP2","LGALS9B","P2RX2","ISL2","CLEC4C","FDCSP","RGS7","SORCS3","P2RX5","UGT2B17","SHISA8","FCRL5","FCRL2"
"TCGA.EL.A3T1.11A",4179,833,442,462,230,16,343,124,198,897,186,211,5,567,765,9,8,2368,110,21,131,56,68,221,171,553,1156,495,21,34,21,27,21,1,431,37,370,1594,175,17,2826,248,4771,128,56,42,117,1380,841,34,2,2809,976,271,363,1029,495,2378,645,115,1609,961,469,894,360,510,649,55,88,2020,206,33,1099,379,227,847,241,1249,92,1527,1869,40,0,716,1118,7,7508,367,10,7,1608,922,177,2738,8,34,137,396,220,173,1437,359,10,1695,165,5,2109,422,832,17,103,726,3,24,1,681,5097,23,1622,713,17,297,293,1021,962,280,203,515,676,7,247,211,644,61,1249,301,485,2021,185,3165,1332,8004,688,78,494,2002,105,11,348,21982,1146,524,2548,1248,86,4,2,40,7,44,722,21,111,178,151,129,198,206,335,124,12,2353,327,6,9,11,8,10,2021,1,5,308,23,18,961,289
"TCGA.EM.A1CV.11A",530,348,30,245,33,4,371,79,0,349,0,100,1,374,453,0,7,353,73,16,3,2,12,7,31,1,1,27,10,7,0,3,5,1,1,5,108,160,24,1,81,21,34,32,7,2,57,55,0,1,0,6,94,0,6,21,7,704,7,7,20,74,150,0,0,34,10,8,10,199,4,0,4,52,32,30,3,94,6,74,50,11,0,0,51,2,574,51,0,1,69,21,27,42,3,0,0,6,23,25,21,3,2,1,6,2,76,3,4,3,12,42,3,2,0,23,6,2,105,23,5,1,10,17,16,4,9,4,21,0,13,3,34,9,61,2,4,163,4,2,12,213,85,0,23,124,0,0,2,6,15,1,87,49,1,0,0,1,2,32,0,0,0,13,13,1,2,9,10,0,9,3,3,0,0,1,0,0,0,0,1,8,0,1,0,0
"TCGA.EM.A1CW.11A",498,480,17,105,59,3,343,76,0,332,0,34,4,431,335,0,5,261,34,5,17,0,15,13,110,9,1,75,1,3,1,2,2,1,1,3,84,160,17,6,206,7,27,18,4,4,71,98,4,3,1,31,232,0,23,111,21,616,85,32,25,385,105,35,15,35,61,12,10,433,3,0,15,206,63,135,25,139,47,268,78,6,0,15,118,0,2198,151,0,1,208,61,46,215,0,0,21,35,12,20,103,0,2,1,33,0,285,119,27,6,15,92,1,2,0,84,217,1,229,142,3,16,63,10,30,4,25,47,39,1,40,7,94,12,166,49,42,150,17,30,156,1046,30,2,21,304,1,1,42,8079,65,39,156,441,5,0,0,1,0,0,6,1,1,52,15,10,2,49,56,2,0,47,2,0,1,0,1,0,0,1,0,3,1,0,42,6
"TCGA.EL.A3N3.11A",11105,2616,604,1715,301,49,1513,162,1780,2547,1060,584,7,938,1710,31,15,4539,686,73,139,553,244,850,980,1941,4483,717,67,64,61,86,61,3,2143,59,1433,7853,200,37,8278,1375,22392,259,61,43,75,3841,3185,493,4,3247,1876,1459,1510,2863,2160,1171,1285,332,5466,1428,1227,1554,1251,874,738,75,311,5061,338,146,3586,621,270,573,287,3885,234,3246,2155,49,15,3284,1386,33,12340,827,63,64,3593,1256,675,8638,7,158,658,952,137,135,6173,2122,40,7901,537,30,3794,447,1099,63,236,922,15,50,1,2051,12870,143,5300,894,97,366,332,2792,1652,1205,330,1014,502,47,217,1011,1749,396,2477,759,741,2686,441,21309,1970,21154,1949,281,1360,2404,338,0,1923,57231,1228,722,7893,790,139,12,3,181,61,51,1240,44,507,212,530,248,1731,438,469,350,25,4667,1367,23,0,21,13,26,5561,6,60,1025,0,75,1586,622
"TCGA.EL.A3MX.11A",1412,427,163,217,89,9,450,78,0,140,3,119,12,359,734,13,9,1537,101,55,23,1,26,11,79,7,4,113,1,13,0,5,3,4,0,11,86,281,98,2,298,31,32,92,4,4,122,124,6,0,0,30,319,0,11,31,31,181,34,21,50,92,177,9,0,34,21,8,39,570,13,0,9,161,16,47,11,271,7,105,146,66,4,1,47,4,427,85,0,6,118,52,68,200,2,0,0,11,30,50,119,7,1,3,17,3,88,20,17,4,10,84,8,5,0,24,15,6,171,47,5,1,26,34,86,8,34,31,46,1,8,4,51,15,117,8,10,119,3,16,46,465,222,3,37,175,1,0,7,65,97,2,323,133,2,1,1,1,2,10,9,3,6,25,42,7,3,13,9,13,1,0,5,0,2,0,1,0,0,1,9,3,0,0,2,3
"TCGA.EL.A3ZL.11A",2855,333,230,281,103,12,270,92,11,416,4,139,7,376,606,1,4,928,94,34,50,1,55,23,42,61,9,178,3,7,7,7,12,4,1,3,107,236,35,8,675,16,59,65,15,15,73,194,24,0,5,761,215,0,56,209,37,679,92,97,64,613,219,98,5,137,86,11,16,755,21,1,20,140,92,236,50,380,23,403,450,12,2,9,433,2,3316,190,2,4,312,98,75,293,12,0,6,51,42,59,468,2,1,13,57,0,565,270,95,6,95,215,3,17,3,133,111,5,604,194,3,10,79,55,178,10,21,78,222,1,80,33,328,23,272,57,76,1787,16,89,200,1766,199,21,94,773,4,1,23,1470,234,231,701,921,15,0,2,4,2,8,113,2,8,51,226,49,8,111,177,20,0,413,32,1,1,4,2,1,23,3,0,24,2,2,40,2
"TCGA.EL.A3ZR.11A",2718,1203,510,611,134,24,609,111,15,431,9,113,8,518,785,2,10,1088,25,59,18,4,42,15,86,59,4,137,23,9,12,9,23,4,3,7,159,396,82,2,1149,17,28,71,10,37,98,146,15,0,34,418,211,0,92,207,13,1167,140,120,80,1042,196,113,1,165,79,28,23,609,32,1,8,259,168,73,47,371,42,507,471,20,1,1,458,2,3665,230,0,7,592,144,73,153,5,0,2,63,61,53,442,2,3,3,63,1,745,328,15,6,128,234,3,8,4,105,37,16,609,234,12,1,74,44,193,15,89,74,238,2,81,23,241,28,376,17,92,3065,7,44,161,2020,292,9,113,863,0,0,21,462,197,128,719,488,6,2,2,3,1,88,680,4,10,46,26,33,8,52,135,13,21,15,49,1,1,0,1,6,16,0,1,6,2,0,8,0
"TCGA.EL.A3ZK.11A",9235,382,149,545,95,30,349,140,92,586,61,133,2,757,2151,3,21,1402,108,11,63,121,98,119,175,531,332,308,1,24,17,16,37,11,323,15,217,796,68,12,2223,130,3757,51,42,42,110,644,419,21,5,4630,670,68,219,488,327,2043,372,183,658,971,367,570,94,403,248,21,53,1818,129,4,356,244,252,236,142,1035,126,1270,1147,37,5,198,843,5,3517,460,12,15,1059,452,203,1035,39,21,69,226,220,73,1263,272,6,434,177,2,884,466,341,11,181,818,5,31,2,420,1118,99,1538,688,15,100,240,295,814,261,120,380,620,5,165,146,468,53,1414,100,345,1648,59,1859,907,5451,1289,71,590,2051,42,7,211,3017,800,647,2340,2156,73,5,4,23,1,26,526,17,194,126,272,80,267,317,519,113,11,1142,190,2,7,6,1,4,914,1,4,140,0,15,356,160
"TCGA.GE.A2C6.11A",5805,738,236,700,130,59,561,245,259,1053,188,168,15,1205,1815,7,12,2618,395,169,144,162,117,230,126,516,1567,1248,67,37,34,21,27,5,370,40,465,1661,272,10,3772,413,6435,103,50,80,201,1489,1148,44,7,6718,798,205,345,1570,1010,1990,793,290,2081,3033,777,833,340,974,616,55,73,3267,121,15,1116,346,295,1597,333,3234,184,3383,1654,79,3,743,1837,6,15081,665,23,21,2025,845,565,3896,12,47,148,420,190,106,2825,468,37,1646,686,9,2565,250,1137,42,436,1418,5,50,4,857,5254,56,3697,1418,97,171,368,818,1867,391,244,717,686,33,298,377,2313,280,2107,277,433,7339,184,4880,1364,9509,1885,146,687,4189,78,10,525,19947,1549,1086,3865,2720,61,3,1,100,7,94,1323,28,126,416,362,455,635,775,787,119,31,6973,332,4,1,11,4,4,1977,5,1,798,23,15,1067,265
"TCGA.BJ.A28W.11A",1312,165,0,78,17,0,33,55,32,217,2,40,4,227,346,0,6,624,16,42,10,1,52,63,15,126,7,97,1,0,9,0,16,0,0,28,42,197,23,10,874,61,30,34,2,18,143,560,301,2,2,82,801,2,122,333,111,1858,367,43,833,271,495,1519,21,992,190,57,40,1665,20,1,144,115,42,423,59,583,30,1433,641,1,2,198,186,0,3655,153,0,0,327,343,136,2168,1,2,12,57,297,2,495,15,1,40,98,0,627,160,98,7,118,711,0,15,0,406,8560,2,660,963,2,134,134,222,193,9,106,95,1380,0,148,175,472,4,1192,189,90,298,267,139,541,1038,198,56,298,2127,2,0,52,32157,445,420,1704,1739,9,0,0,9,0,1,670,6,4,184,49,39,3,389,166,74,2,1404,39,1,1,1,27,0,2,0,0,89,8,5,557,37
"TCGA.EL.A3ZP.11A",3768,1071,175,1518,217,35,926,139,315,765,200,177,5,1156,2450,4,23,2780,280,43,113,103,111,206,156,816,1369,533,9,30,74,25,42,2,311,17,366,2046,175,12,4834,320,4685,98,56,136,131,1590,1242,66,10,8201,1014,113,288,1526,1050,1940,752,353,1791,3419,936,641,371,653,475,47,82,3002,148,11,1122,488,206,679,346,2857,161,2072,1951,51,5,618,1314,2,12265,752,17,20,2346,680,462,2768,34,40,274,450,234,87,1603,996,42,1848,664,21,2124,584,1023,26,249,1133,10,27,5,840,4232,126,2759,897,55,215,308,757,1762,1080,254,611,551,9,264,226,1021,139,1923,319,590,5628,222,6031,1135,9537,2018,107,936,2731,49,0,631,27821,1251,759,3670,1620,153,10,6,76,6,31,427,30,188,226,149,306,1157,460,769,124,21,2081,428,8,4,17,5,23,1133,0,1,370,9,34,951,530
"TCGA.EL.A3T7.11A",1453,675,319,161,71,11,588,122,6,220,0,71,2,404,631,2,25,1111,43,43,17,3,34,15,97,7,2,73,2,11,0,9,15,4,0,11,168,278,60,2,244,17,27,26,7,15,74,127,10,0,3,101,153,0,65,73,61,298,39,71,47,285,201,11,7,44,40,15,21,450,15,1,7,137,64,18,12,153,21,230,226,21,9,0,172,1,1419,75,1,3,247,57,30,207,9,0,1,17,33,37,115,3,1,4,25,0,247,220,12,2,50,85,3,1,0,37,11,5,317,79,2,1,49,6,150,18,43,27,113,1,8,7,63,30,146,13,32,945,15,27,26,779,223,7,39,324,1,4,8,89,63,9,297,330,2,2,0,0,2,2,7,6,2,33,21,21,5,10,15,4,0,2,25,1,0,9,1,0,0,0,2,5,1,0,1,4
"TCGA.KS.A41I.11A",10373,922,507,851,163,37,924,312,649,2358,540,485,27,1721,1535,30,21,3997,479,205,317,280,247,631,400,1700,2829,1047,37,73,128,21,113,8,1523,71,544,4023,327,30,5217,1127,13218,168,104,126,391,2787,2757,130,10,7292,1803,478,744,2734,1657,5623,1678,621,5022,2451,1042,2224,707,2066,1813,101,189,6311,452,43,2656,1345,682,2870,617,5043,413,4013,3127,100,2,1899,2603,11,22551,1194,35,37,3603,1693,826,6037,30,158,386,973,885,357,3028,1730,49,3579,557,17,3411,836,1675,68,416,2445,15,51,5,1684,14326,119,4672,2188,61,792,1049,2105,2411,1242,460,1522,1256,17,468,601,2462,191,3789,924,779,5891,436,12800,3715,19146,2666,229,1834,6603,277,5,1372,101202,2945,766,7476,1131,244,6,5,126,13,30,787,47,376,894,541,300,1328,966,706,288,49,4724,745,7,15,15,42,13,4555,7,0,840,30,75,2271,808
"TCGA.BJ.A28X.11A",4593,1070,541,937,181,113,1425,432,519,1439,312,315,17,2716,3501,5,44,5174,832,1125,277,272,398,641,486,2292,3263,1364,6,37,92,37,49,9,564,57,851,3724,383,39,7106,1158,10850,255,115,104,254,3994,3578,67,31,17679,2400,447,665,2969,2381,3468,1973,1192,5091,4277,2165,2268,769,1353,1242,66,133,9345,346,68,3225,1239,836,2475,703,6976,738,7042,4717,52,1,2107,3125,3,32918,2094,24,53,4904,1813,1190,6620,118,127,647,1068,670,208,4310,2502,111,4342,1282,12,6439,773,3452,61,874,3435,3,122,5,2132,12860,226,7238,2862,175,698,880,1036,7062,2723,606,1825,1335,44,509,769,2742,460,6013,822,639,15117,450,15631,2613,27356,6473,292,3125,10024,261,12,2332,93595,4015,1279,10625,2696,282,8,4,261,49,201,1422,127,412,867,690,747,2508,1496,960,335,25,6434,1233,5,10,74,17,98,2986,21,23,1111,63,37,3827,1702
"TCGA.EL.A3T0.11A",2565,534,259,1461,148,26,308,156,177,382,92,113,11,535,3537,5,9,2744,85,90,74,66,80,108,100,292,441,468,8,21,20,9,8,6,184,9,245,1168,113,8,1801,177,1192,126,11,15,88,709,379,61,8,2835,438,122,175,495,335,902,317,270,999,1404,317,234,184,281,217,34,35,1863,74,6,376,297,189,473,139,1071,144,1285,821,33,1,275,790,6,4305,387,7,24,639,404,241,1173,15,20,61,179,156,43,1049,293,18,899,221,2,840,645,319,10,139,574,2,15,6,349,1594,24,1630,537,26,63,171,328,681,189,177,320,226,8,85,123,587,80,1050,146,165,3309,87,1918,543,5059,863,42,401,1771,40,1,282,9715,682,213,1513,423,30,2,2,34,5,21,265,12,47,126,98,153,303,211,217,55,9,514,156,3,3,10,4,8,808,3,4,207,25,7,348,173
"TCGA.EL.A3T6.11A",2809,507,247,909,124,37,355,148,312,1063,111,261,3,874,1211,16,15,2627,113,28,139,78,108,124,165,406,808,591,15,33,80,33,44,3,440,15,270,1384,113,8,2925,247,4313,82,122,183,142,885,752,53,12,3791,862,197,312,1607,635,4000,711,391,1038,2258,472,857,285,624,803,59,79,1698,203,26,976,403,305,1620,436,2072,104,1637,2331,50,4,583,2940,6,21577,491,20,17,1849,696,319,2955,6,32,69,425,374,208,1579,337,28,1025,255,8,2811,485,695,25,270,1056,5,13,2,681,4363,47,2013,888,35,420,505,511,1625,327,249,707,769,6,265,317,981,97,1447,327,358,6758,177,3289,1748,8379,1487,74,771,2953,50,5,190,28409,1348,293,2708,682,55,4,2,37,12,9,278,44,94,401,213,165,568,253,551,57,7,2275,289,9,8,7,4,4,1433,3,3,391,12,74,946,289
"TCGA.EL.A3H1.11A",2295,427,413,351,105,18,381,289,13,788,8,63,11,924,523,1,12,1538,85,23,123,15,21,64,92,171,73,286,5,8,8,10,2,1,20,17,236,541,78,9,897,71,586,111,13,31,193,495,175,0,5,2145,601,6,111,535,207,1475,416,105,398,1276,172,281,90,317,477,52,27,1404,47,6,183,367,289,946,220,790,100,1249,796,27,2,162,475,3,5682,211,1,4,821,458,136,1001,2,10,30,241,267,55,498,79,4,205,106,2,996,562,351,8,84,458,8,2,1,274,3476,23,1343,395,6,142,248,64,300,75,247,407,274,1,169,71,478,35,953,242,184,1968,85,926,761,4743,396,20,257,1546,28,0,168,31346,674,188,1142,670,16,2,0,15,3,25,317,11,25,285,68,120,84,114,188,35,2,571,52,1,1,6,2,6,226,0,1,86,2,6,452,140
"TCGA.EL.A3N2.11A",707,620,181,160,94,17,562,156,1,129,1,159,13,338,144,3,8,2478,67,40,12,3,51,6,165,2,2,98,53,1,2,7,2,1,0,15,74,330,81,0,458,15,44,68,5,2,172,143,8,0,4,75,381,0,101,66,21,438,26,52,47,220,168,3,3,32,42,12,30,364,9,0,3,156,52,79,28,201,20,194,193,24,5,0,129,1,1195,131,0,5,205,49,64,139,4,0,1,15,30,71,122,10,5,3,12,1,194,59,12,0,30,111,5,11,0,37,12,3,380,65,35,1,24,13,74,7,21,24,37,2,27,15,121,24,114,28,21,606,4,11,43,850,200,10,32,290,1,0,24,159,105,17,322,117,1,0,3,2,2,61,5,1,0,26,33,21,0,17,12,5,15,8,15,0,0,1,2,2,0,0,2,5,0,0,2,1
"TCGA.E8.A2JQ.11A",16733,2089,651,1475,124,61,1251,370,1879,2066,804,650,101,1704,1564,60,21,3362,464,110,212,437,261,785,921,2484,3743,1110,236,75,128,37,32,5,2724,55,1135,6582,332,16,6568,1177,27888,177,68,94,166,3948,2962,617,3,10382,1983,1972,1923,2560,1355,3253,1304,500,5374,1247,1559,2455,1215,1811,1339,248,434,5710,418,30,2181,818,457,1999,567,4751,363,4820,2943,69,9,2445,2398,21,8853,1554,88,25,2006,1280,855,7476,40,100,407,563,554,374,6044,1726,46,4850,801,55,2972,411,2450,49,445,2319,15,84,1,1910,10707,100,6133,2114,31,211,696,3356,3064,829,303,1289,1713,30,376,1044,2653,298,4568,881,481,6824,351,15439,2426,19767,2100,300,1400,6826,242,21,1186,12073,2463,1857,8107,3195,142,24,2,226,28,99,1570,69,625,797,440,350,970,976,533,359,56,6213,840,37,4,55,15,21,8229,7,10,1151,34,57,1278,524
"TCGA.EM.A1CU.11A",7515,1090,149,531,37,10,602,129,228,567,51,122,27,362,900,1,6,1124,259,37,51,121,79,88,255,255,420,239,34,18,15,15,16,4,428,10,257,909,51,8,1104,178,5633,55,3,8,84,649,413,75,4,909,391,156,162,452,314,712,156,39,660,442,376,367,189,175,129,30,30,865,59,8,473,130,63,212,51,775,63,577,366,21,1,431,445,4,3374,184,20,4,422,171,139,1268,4,30,60,131,46,68,1181,186,3,874,261,1,702,171,341,12,66,206,7,5,0,308,1623,40,1053,211,28,49,68,244,308,186,42,184,142,4,43,86,498,76,314,92,95,1505,67,2772,249,3194,250,33,179,623,28,3,259,14996,219,236,1003,700,23,3,0,32,1,26,362,3,123,68,165,71,213,97,117,35,10,2363,264,1,0,3,4,0,2705,4,4,194,0,4,488,119
"TCGA.EL.A3ZO.11A",1058,511,247,448,61,7,189,84,5,303,4,104,5,248,879,0,21,925,42,39,64,6,30,11,55,15,5,113,43,8,11,6,25,1,1,5,81,257,113,6,359,11,61,84,217,11,52,139,10,1,6,172,245,0,27,113,211,641,65,39,82,484,150,39,9,121,59,21,24,665,20,1,15,222,98,129,23,181,18,274,285,30,4,20,376,1,1766,87,0,7,217,121,40,259,4,0,1,26,52,26,249,2,4,2,25,1,305,60,37,3,92,154,5,4,4,69,741,2,370,129,17,24,61,23,71,11,42,42,171,0,28,28,163,21,183,40,21,1514,43,51,79,1071,338,8,103,480,4,0,8,13355,87,24,300,338,2,1,2,3,3,98,43,3,2,33,56,23,3,30,30,5,35,9,15,1,0,2,1,0,2,1,4,11,2,1,52,12
"TCGA.EL.A3H7.11A",3798,641,270,574,127,16,355,143,66,620,16,184,3,587,660,3,11,1788,101,367,111,27,37,74,213,188,173,281,21,21,15,4,42,4,154,2,304,448,106,2,4290,99,2062,84,81,25,80,455,305,12,5,2105,359,59,127,787,262,1978,322,101,478,1031,238,304,108,305,403,27,21,901,59,12,440,300,179,674,196,1063,56,1056,1332,47,4,196,869,3,7471,272,4,5,867,338,220,1177,1,17,61,234,197,64,763,153,5,490,160,1,1533,797,285,11,92,549,3,10,2,372,1887,12,1098,445,47,104,184,286,773,171,117,400,360,4,295,127,398,43,812,161,270,2807,68,1260,999,5641,515,64,304,1494,26,0,122,15375,929,265,1833,717,23,1,8,17,3,47,158,8,86,191,80,67,177,150,287,42,9,1132,142,1,2,5,2,3,1219,0,0,82,5,13,306,94
"TCGA.KS.A41L.11A",1301,742,151,186,78,10,690,105,4,631,6,88,10,657,1127,2,5,815,39,53,23,5,37,21,50,26,3,111,30,3,3,3,5,4,3,5,130,337,53,7,409,10,30,33,7,17,135,149,23,3,3,759,203,0,21,178,15,729,100,87,74,668,165,39,6,148,84,23,40,691,16,2,28,453,119,165,35,236,44,351,317,24,2,7,213,3,2432,135,1,8,351,122,39,283,4,0,2,40,79,64,222,1,1,9,43,0,411,217,27,2,87,177,4,6,6,76,98,1,348,189,21,18,79,42,171,23,52,51,99,2,43,23,139,31,301,57,56,1090,8,53,111,1239,275,6,101,665,3,2,44,2043,188,117,478,815,15,1,0,2,5,65,30,1,1,79,13,20,1,61,59,21,37,30,11,0,0,0,7,4,15,3,1,15,0,0,37,5
"TCGA.EM.A1CS.11A",1021,362,25,934,53,4,332,95,0,215,2,63,5,245,4175,0,6,312,5,26,9,1,16,17,21,9,0,78,1,1,4,0,6,6,2,4,103,171,15,3,368,13,30,15,9,3,89,106,7,0,1,270,290,0,21,61,75,1686,43,17,53,142,142,30,3,79,39,15,15,341,7,0,23,92,33,55,11,144,9,262,139,16,0,6,92,3,823,50,0,6,148,56,31,75,1,0,15,20,39,16,98,1,1,1,18,0,137,367,10,1,8,99,2,1,0,42,69,9,179,97,8,7,28,39,55,5,24,35,67,0,20,5,75,5,137,21,21,156,18,40,127,641,101,12,23,271,0,4,49,3087,75,32,278,447,3,0,1,2,2,4,35,0,5,24,2,23,4,33,26,5,0,30,3,0,0,0,2,1,0,2,4,4,0,3,15,3
"TCGA.EL.A3H2.11A",1531,945,169,797,114,11,422,142,7,247,2,57,4,281,1282,0,7,683,75,16,16,0,32,3,49,9,0,59,2,2,1,2,2,0,2,3,136,191,18,6,244,8,39,46,9,1,30,130,7,0,2,95,346,0,47,40,43,535,10,21,50,55,142,6,1,47,15,26,16,293,6,2,7,61,30,23,5,122,4,103,122,15,4,1,68,1,230,50,0,6,79,26,30,55,3,0,1,11,23,23,92,2,0,2,9,2,73,42,3,6,15,84,2,4,1,39,5,3,194,33,1,1,18,21,108,6,16,23,20,1,9,5,34,11,92,5,9,211,4,7,21,603,128,5,30,154,0,3,11,51,46,9,153,576,2,1,0,0,2,2,21,2,3,15,18,15,0,6,9,2,1,4,15,0,1,0,0,1,1,0,2,0,0,0,0,1
"TCGA.BJ.A2N8.11A",1272,205,75,1233,122,3,641,118,2,154,1,63,2,325,1516,1,6,1508,163,26,6,8,34,10,71,6,2,71,10,5,0,4,6,1,3,6,139,367,49,4,845,10,42,34,0,7,84,95,13,0,2,28,657,1,13,51,74,867,21,37,78,49,128,9,5,55,24,31,21,465,6,0,4,106,50,30,7,130,21,199,98,24,9,1,57,4,349,71,0,5,139,53,44,175,0,0,5,10,31,28,103,1,4,5,10,1,115,18,8,3,25,99,1,8,0,42,16,3,183,61,16,3,33,25,75,6,44,18,27,0,9,7,43,25,134,15,3,222,4,12,15,529,114,7,27,264,0,0,24,99,59,17,208,89,0,0,0,1,3,49,16,0,23,15,13,16,1,5,5,1,15,17,9,0,1,0,2,0,1,3,16,0,0,0,6,1
"TCGA.FY.A3TY.11A",567,872,379,194,64,6,312,40,3,341,1,107,2,372,670,0,15,535,44,30,10,1,46,8,42,8,2,57,4,8,0,2,3,3,0,8,94,215,51,1,189,11,57,47,3,7,46,171,9,1,7,33,130,0,44,76,73,559,61,92,44,301,166,5,4,75,39,10,21,518,10,2,8,178,94,26,8,135,27,188,177,18,3,1,156,0,1280,113,1,4,280,71,30,49,10,1,5,24,47,52,115,3,2,0,30,1,328,37,26,2,63,177,3,8,1,35,23,1,312,84,2,2,37,21,52,8,84,42,43,0,21,15,92,18,190,15,20,1590,11,42,20,996,245,5,78,391,3,1,30,396,139,4,351,483,3,0,0,1,1,3,2,3,1,67,11,15,2,18,26,1,0,7,10,0,0,3,0,1,0,4,4,4,0,0,4,1
"TCGA.EL.A3T2.11A",447,986,98,196,44,8,257,63,3,485,2,247,2,163,468,2,5,1416,39,23,8,1,40,9,94,3,0,35,4,4,1,8,1,1,0,1,194,261,55,3,57,20,104,21,2,8,16,98,9,0,3,17,88,0,9,35,3,205,20,52,50,194,135,1,3,80,21,2,10,495,8,0,9,117,46,21,2,156,11,133,128,9,2,1,98,0,595,63,0,4,133,43,35,31,6,0,0,7,25,106,39,3,1,4,3,1,165,61,7,2,44,55,4,0,3,24,9,0,177,68,4,0,17,9,15,2,23,5,47,4,11,3,94,7,88,3,9,783,40,3,13,292,253,2,24,231,1,0,1,65,63,1,95,127,0,0,1,0,0,32,1,6,0,11,37,8,0,11,4,3,0,1,5,1,0,0,1,1,0,4,3,0,0,0,0,0
"TCGA.EL.A3ZM.11A",2202,285,107,203,55,8,181,82,5,247,3,35,9,121,836,18,15,709,24,23,6,0,13,2,32,4,2,30,6,2,3,2,5,3,1,1,79,130,183,5,293,23,12,126,4,15,55,35,12,0,6,97,128,1,16,30,55,353,12,20,37,215,156,8,0,39,8,42,11,240,21,0,3,71,13,23,5,124,4,80,80,16,2,2,49,5,707,30,1,2,56,18,32,80,3,0,0,8,20,59,61,1,1,1,15,0,92,2,8,5,11,49,13,2,0,25,23,1,111,42,1,1,9,16,40,5,4,6,55,0,7,4,34,6,46,9,11,300,4,17,23,259,198,2,16,130,0,3,2,384,26,7,142,129,0,2,1,0,0,1,35,1,18,6,31,6,2,6,10,2,1,4,8,0,0,10,0,1,0,1,0,9,0,0,5,0
"TCGA.EL.A3T3.11A",1148,713,458,491,63,4,425,78,2,303,3,101,0,445,1108,0,17,720,27,31,15,2,28,12,68,10,5,95,3,7,2,0,4,1,1,6,114,177,44,5,267,10,32,42,1,2,101,110,8,0,5,69,330,1,10,61,33,571,44,61,37,229,184,4,3,84,18,47,34,537,9,0,0,159,52,42,6,97,13,168,139,27,4,1,100,2,865,142,0,2,151,51,26,92,9,0,0,9,39,35,69,2,0,5,13,1,128,59,4,7,23,111,1,3,2,39,13,1,173,66,0,0,32,21,61,3,37,17,50,2,5,8,42,18,148,8,15,308,3,23,18,506,175,4,42,281,1,0,3,47,90,5,206,94,1,0,0,1,0,1,10,0,2,20,15,11,0,16,2,4,2,3,8,0,1,0,0,0,3,1,2,2,0,0,3,1
"TCGA.ET.A3DP.11A",1110,907,88,333,124,7,413,105,1,215,2,154,4,234,647,0,6,1291,55,13,24,0,42,15,55,2,0,71,5,2,2,4,31,1,0,2,159,219,24,1,217,20,53,42,17,21,21,59,4,0,5,30,386,0,59,65,17,362,26,23,28,105,146,6,5,76,35,15,9,351,10,1,0,53,37,50,7,148,3,150,123,9,2,1,85,1,1010,80,1,2,105,64,42,82,2,0,0,15,32,30,130,2,1,1,6,0,165,63,11,0,16,71,6,6,0,37,55,1,181,40,7,1,18,21,31,4,15,21,98,2,11,6,71,7,57,20,15,717,5,6,55,495,143,5,23,189,0,1,6,1096,55,8,181,617,1,0,1,2,1,11,25,0,0,4,84,37,0,11,7,5,0,10,27,0,0,0,1,0,0,0,0,3,1,0,12,0
