"","FNDC4","ABCC11","ALDH3B2","EDIL3","CHST6","HOXD1","HP","GCKR","ENC1","ACOT12","FUT2","PLA2G2C","SLC6A14","ALPL","DGAT2L6","CNGA3","AOC1","ADRA2C","GDNF","PASK","SRPX2","PLPP4","TCN1","SLC28A3","CD177","STMN2","CA12","IL37","UGT3A2","TNNI3","TMEM255A","WDR49","CALB2","QRFPR","PRPH","CHGB","PKP2","DMBT1","BPIFB1","ABCC12","MTTP","PLEKHS1","ZFR2","C6ORF141","ATP12A","PROK1","FAM196A","HDC","ADH4","SUSD2","COL6A5","SEC14L4","GABRQ","CSMD2","IL31RA","SLC10A4","CORIN","INA","SCN8A","HGNC:18790","IZUMO1R","TGM5","RHCG","PAPPA2","CRYM","SERPINI2","ROS1","PCP4L1","PTH2R","F5","FADS6","FAM26D","NOTO","C6ORF10","KCNA4"
"TCGA.ET.A40T.01A",2134,438,9,1314,146,23,7,52,2271,79,206,12,71,767,7,11,34,199,13,20315,156,28,61,312,3,184,1612,1,68,28,639,5,9,50,25,156,420,47,5,61,6,27,148,20,39,4,25,32,0,2853,16,34,71,32,4,37,66,30,161,289,5,1,40,47,8,0,8,50,5,649,3,0,3,7,3
"TCGA.BJ.A2N8.01A",3910,81,15,1762,69,7,153,46,1304,1,90,24,33,1225,2,37,115,181,4,2192,59,6,7,85,61,15,12121,1,370,4,189,4,40,139,16,63,261,42,6,2,8,26,44,17,1005,15,61,0,1,3625,2,17,197,51,0,98,35,18,254,30,8,4,5,21,12,0,1,188,11,153,2,74,0,2,1
"TCGA.BJ.A192.01A",5035,21,98,831,74,2,12,63,1047,1,133,1,49,1749,1,7,654,30,137,205,66,15,4,64,0,30,15319,0,0,27,101,4,2,23,82,46,7,25,7,2,47,312,7,4,99,3,18,1,0,5374,3,2,3,117,0,67,122,15,71,6,18,32,6,35,15,0,0,785,5,425,12,2,1,0,1
"TCGA.EL.A4K4.01A",1353,46,144,2457,259,12,12,4,843,1,345,7,720,1130,26,9,63,191,51,761,775,401,15,198,308,8,2256,17,3,177,353,7,53,6,21,3749,579,31,42,1,5,47,7,16,7,23,34,11,0,1266,3,1,3,150,3,8,485,75,107,59,2,9,3,27,21,1,0,35,3,163,0,0,0,0,0
"TCGA.ET.A3DO.01A",1642,6,55,503,79,3,18,8,1453,10,367,4,2188,691,16,15,205,56,4,616,105,47,21,666,53,217,261,28,4,2,221,9,10,0,6,2474,330,1,139,0,18,46,24,42,8,7,18,16,1,3297,90,3,7,30,5,21,50,75,200,245,3,7,3,15,5,0,2,40,15,219,1,0,2,12,0
"TCGA.EL.A4KH.01A",568,117,37,362,20,6,100,4,747,21,60,20,37,3257,7,7,221,601,5,5798,71,7,7,24,28,32,289,0,1,23,142,5,15,131,184,101,308,168,13,1,0,12,76,8,3,8,21,13,0,3337,0,3,23,33,2,64,27,0,94,26,3,0,1,17,5,3,0,4,1,119,0,1,4,0,0
"TCGA.CE.A3MD.01A",3750,461,4,2240,150,11,47,84,1738,23,295,18,209,1516,8,35,151,64,35,26920,95,146,4,104,9,34,2042,0,128,12,222,3,28,139,30,724,104,7,4,23,7,10,25,8,18,78,13,17,0,22053,7,26,25,133,1,23,40,7,51,5,2,1,0,18,0,1,4,693,17,683,7,15,0,4,0
"TCGA.E3.A3DZ.01A",578,17,4,2248,55,4,21,15,1021,1,80,6,82,611,3,17,407,95,1,1616,46,10,1,76,0,3,2236,0,6,17,55,1,0,139,15,127,27,5,0,0,2,1,128,11,16,7,52,3,0,1190,0,2,142,185,0,104,18,18,274,26,1,1,3,103,3,0,0,55,2,40,17,10,8,1,5
"TCGA.EL.A3CP.01A",727,74,5,1616,55,6,12,12,2463,2,69,3,18,340,11,21,16,94,2,840,179,13,12,21,890,67,416,1,10,0,341,4,7,136,27,34,1082,34,2,0,1,11,26,16,1,1,21,5,3,3093,1,2,26,39,1,16,98,9,81,9,10,0,0,25,71,2,0,25,12,160,1,1,0,2,0
"TCGA.DJ.A2PN.01A",1546,23,32,1460,9,15,1,30,1201,7,98,3,283,1133,21,15,94,148,5,998,101,13,11,61,12,97,1673,15,5,2,55,2,0,55,46,37,462,6,8,0,0,33,57,7,5,5,49,5,2,1762,0,2,24,115,4,52,52,4,101,113,6,2,0,34,7,0,5,63,2,1054,0,1,0,3,3
"TCGA.EL.A3ZQ.11A",627,15,0,425,21,15,26,10,755,1,78,2,6,377,2,4,17,94,3,1722,115,16,3,31,8,3,217,0,10,12,107,9,6,7,32,243,97,7,1,2,8,1,25,209,33,9,32,15,12,2974,1,1,5,74,0,8,84,15,181,53,28,0,1,191,61,9,0,37,8,1150,3,0,0,5,4
"TCGA.BJ.A3PR.11A",510,6,0,123,17,0,15,6,265,1,63,0,10,372,0,3,52,69,6,1351,64,10,3,21,2,11,122,0,5,2,23,11,1,33,39,215,49,15,12,2,4,21,28,18,11,1,8,0,0,2265,1,8,2,20,3,17,17,9,25,40,4,13,6,37,8,2,0,50,4,239,4,1,2,0,0
"TCGA.KS.A41J.11A",341,20,1,300,17,2,15,4,650,0,79,0,8,322,2,31,43,37,2,1853,47,15,1,40,1,15,3817,0,4,8,49,40,32,1,40,732,47,2,3,3,30,13,32,146,15,6,16,3,3,1282,15,8,5,34,3,44,71,30,183,68,17,2,0,154,11,7,1,84,8,262,3,3,0,2,3
"TCGA.EL.A3MY.11A",672,17,0,1021,16,1,13,15,549,1,60,0,6,642,1,11,24,75,0,981,61,23,0,10,0,27,4347,0,1,1,39,2,0,28,31,84,37,12,2,1,11,0,27,27,3,3,11,6,3,5252,0,13,6,68,0,23,52,4,97,37,3,0,1,322,16,1,0,713,4,55,1,4,0,2,0
"TCGA.BJ.A2NA.11A",453,9,3,227,11,6,6,5,391,0,42,0,2,792,2,10,55,60,1,850,40,5,1,17,10,6,534,0,6,0,42,2,4,63,16,990,99,3,0,2,13,3,15,17,8,5,8,1,0,2062,0,4,4,44,1,50,33,40,49,85,12,1,0,163,24,2,0,23,1,134,1,5,0,4,4
"TCGA.EL.A3GZ.11A",126,18,0,247,12,0,0,1,349,0,56,2,8,436,2,7,2,26,0,771,65,3,1,10,0,0,1029,0,1,3,37,0,5,34,9,184,24,2,1,4,21,0,11,31,20,6,7,1,5,1005,1,3,10,46,0,42,37,11,103,42,9,0,0,105,8,0,3,27,1,120,0,1,0,1,1
"TCGA.EL.A3T8.11A",471,23,2,338,18,3,39,5,636,2,73,0,7,310,2,8,23,37,2,1003,95,25,3,23,23,0,1275,0,1,6,71,5,3,23,31,160,37,4,10,1,9,15,30,108,7,13,21,3,1,1947,7,11,13,33,1,23,47,6,81,63,15,2,1,84,21,3,0,64,5,682,0,2,1,0,2
"TCGA.EL.A3TB.11A",247,13,0,724,26,2,9,2,522,1,66,3,6,658,1,9,2,84,0,1258,113,10,0,27,27,2,2787,0,1,0,122,11,4,37,18,57,34,3,0,3,24,3,33,74,8,9,15,5,21,1516,2,8,15,63,0,50,53,3,65,74,11,1,0,240,23,3,0,55,0,100,0,2,0,2,0
"TCGA.EL.A3ZT.11A",200,23,0,310,11,2,4,16,381,0,103,4,3,219,1,9,9,74,0,1468,49,4,0,25,0,0,317,0,0,5,35,9,3,0,21,194,7,4,1,1,47,2,47,74,1,1,5,1,3,2172,0,10,21,21,2,26,56,1,146,21,10,0,0,126,6,3,1,106,2,74,1,1,2,2,6
"TCGA.DO.A1JZ.11A",341,15,0,234,23,0,3,1,277,0,35,2,63,438,2,11,17,143,1,836,27,35,0,28,1,1,654,0,3,1,27,4,61,61,25,230,80,0,1,0,5,5,21,3,2,0,8,0,1,503,0,3,21,17,0,39,44,4,120,25,1,1,1,108,3,1,0,68,4,203,2,1,1,1,0
"TCGA.H2.A2K9.11A",472,25,2,281,23,1,21,13,586,1,139,7,59,478,2,39,88,46,1,1620,71,15,8,65,9,28,356,3,2,2,89,12,1,10,31,2202,171,9,7,1,39,13,35,42,4,8,81,5,4,2833,1,11,129,57,4,21,61,92,162,82,11,1,2,222,27,3,3,55,10,229,3,0,3,2,2
"TCGA.EL.A3ZG.11A",208,2,0,80,5,1,1,3,86,0,40,1,12,111,1,1,3,37,0,533,26,11,1,6,1,0,57,0,1,1,9,7,1,8,15,60,11,9,2,0,15,1,9,55,3,2,10,2,0,743,1,3,5,7,1,6,31,3,25,11,9,0,0,33,6,2,0,11,0,101,2,0,1,0,0
"TCGA.EL.A3MW.11A",465,11,0,1044,39,3,2,9,551,0,61,3,10,179,3,5,5,47,1,815,101,16,3,43,6,3,1301,0,5,0,51,11,5,6,12,78,60,2,1,1,12,0,13,59,18,2,13,21,4,2426,1,5,6,34,3,10,42,2,114,56,30,7,1,183,60,0,2,27,0,514,0,1,0,1,3
"TCGA.BJ.A28R.11A",219,20,3,426,20,3,10,8,649,0,63,0,37,418,1,6,18,66,2,1157,65,11,4,59,1,98,188,0,1,1,89,9,13,5,23,69,183,0,6,2,39,4,16,47,11,2,18,5,3,1829,3,13,3,40,2,11,30,6,81,52,6,0,1,87,12,7,0,27,4,131,1,0,2,1,3
"TCGA.EM.A1YC.11A",297,3,0,405,3,2,10,2,483,2,59,7,2,486,2,7,23,64,0,732,103,10,1,4,7,2,758,1,0,3,51,23,0,15,21,32,16,2,2,0,8,5,43,183,0,8,24,0,0,4547,12,7,1,43,0,59,34,0,57,39,3,3,0,31,0,6,0,23,0,133,0,0,0,2,4
"TCGA.ET.A2MX.11C",592,16,0,133,28,1,1,15,383,1,66,1,21,398,1,6,6,33,0,1053,28,17,1,27,0,3,298,2,6,5,15,5,5,21,30,150,18,3,2,1,30,2,28,68,6,4,10,2,1,1159,1,10,9,47,1,18,66,3,117,37,6,1,0,49,28,3,0,37,3,80,0,0,0,0,0
"TCGA.BJ.A290.11A",427,27,0,595,37,2,23,5,1257,1,75,3,8,555,2,10,30,82,4,1007,127,7,0,34,6,2,1575,0,6,0,230,2,23,32,26,282,55,28,1,2,353,1,56,148,6,11,18,8,5,2916,9,21,107,50,0,31,57,9,130,42,2,4,2,859,27,3,1,68,3,172,4,3,0,3,1
"TCGA.EL.A3TA.11A",703,13,4,106,23,0,3,15,466,0,100,3,18,184,0,17,33,185,1,1377,63,25,0,35,0,1,1724,0,2,3,65,7,2,17,26,1332,37,6,3,1,13,15,39,30,7,3,15,4,1,1439,2,6,47,34,2,18,40,35,150,21,17,1,1,98,11,1,3,35,3,101,0,1,8,5,2
"TCGA.BJ.A2N9.11A",249,17,1,127,37,2,10,6,653,0,57,3,25,469,0,6,151,50,1,1529,50,5,3,37,6,8,1318,0,16,5,97,15,6,6,17,194,108,10,6,1,23,7,49,100,1,1,11,7,1,2177,2,6,1,30,1,4,28,2,51,94,15,6,2,42,42,4,0,27,9,314,2,2,0,0,0
"TCGA.BJ.A3PU.11A",310,20,2,438,11,5,20,5,358,0,74,2,8,464,0,2,12,87,0,1678,43,17,4,24,322,4,560,1,1,5,42,12,2,13,40,127,46,7,3,2,15,5,46,97,3,17,10,2,1,1793,0,16,10,30,4,23,39,4,203,56,8,1,1,318,40,1,1,27,5,118,0,1,0,0,1
"TCGA.EM.A1CT.11A",571,17,0,247,9,2,3,4,360,0,47,3,7,448,1,6,17,68,1,683,92,18,1,17,2,2,211,0,0,0,76,15,1,12,12,68,55,5,0,0,15,2,34,104,7,8,7,0,2,1796,2,5,15,49,3,12,55,8,100,74,7,1,0,131,46,1,0,81,2,530,0,0,1,0,1
"TCGA.EL.A3ZS.11A",280,11,0,55,13,0,20,8,295,0,25,0,12,381,0,0,67,65,8,1275,33,3,9,33,2,43,61,2,5,3,85,11,6,3,3,261,314,4,5,0,6,3,10,17,1,0,34,3,4,510,9,3,3,31,3,5,15,7,28,120,11,2,4,18,53,7,1,5,2,117,12,0,1,17,5
"TCGA.BJ.A2N7.11A",184,21,4,465,26,12,11,2,734,1,87,5,20,327,2,4,74,106,0,2424,34,7,1,26,5,11,1036,0,3,2,61,10,2,6,27,133,113,7,0,3,28,0,23,65,12,5,30,0,6,2105,0,10,20,87,0,15,57,1,156,37,2,1,3,88,34,1,2,28,7,74,0,3,0,0,1
"TCGA.EL.A3ZH.11A",150,21,2,274,28,0,6,1,471,0,49,0,0,169,0,3,12,30,1,1242,42,11,2,42,0,0,261,2,5,13,49,10,3,9,12,169,63,5,1,3,16,9,21,16,12,10,18,3,1,1367,0,3,10,20,0,9,40,4,103,28,7,0,0,55,28,0,6,27,2,1051,4,0,0,1,1
"TCGA.ET.A3DW.11A",471,12,0,197,5,1,3,1,151,1,65,3,13,333,0,2,28,89,1,641,40,9,0,6,3,0,1137,0,1,0,71,8,0,9,13,103,47,2,0,2,3,0,23,40,12,4,8,2,0,4619,0,1,8,21,0,15,28,5,63,61,5,1,0,74,10,2,0,30,0,914,3,1,1,0,4
"TCGA.ET.A2N5.11B",47,15,0,161,7,2,5,1,445,1,99,0,6,223,0,6,4,32,0,1147,30,28,1,8,2,0,925,0,4,0,11,4,0,8,15,63,18,42,0,1,18,0,23,66,12,8,10,1,3,1369,0,12,2,53,0,4,50,5,95,26,16,1,2,63,23,0,0,47,1,42,2,2,0,0,2
"TCGA.EM.A3ST.11A",372,10,0,105,9,0,10,3,197,1,60,0,43,420,0,1,33,259,2,1015,79,17,2,0,9,2,154,0,2,6,20,11,1,5,27,44,15,4,0,9,8,0,21,184,1,7,16,0,2,895,1,2,0,31,1,34,15,1,37,20,12,0,1,35,17,13,0,9,3,21,0,1,1,0,2
"TCGA.EL.A3T1.11A",973,7,2,374,34,1,16,15,874,0,60,2,94,596,3,2,20,42,7,1103,98,30,1,49,818,20,992,1,18,1,156,27,47,2,21,228,173,30,4,6,11,47,16,126,2,9,21,24,3,1150,5,5,12,61,3,24,55,13,69,71,3,1,2,73,21,3,4,46,6,281,0,0,0,6,1
"TCGA.EM.A1CV.11A",219,21,0,131,27,0,0,9,242,0,98,1,0,165,0,7,3,16,2,737,37,21,0,12,0,9,1828,0,0,0,35,2,3,8,16,203,49,1,0,0,20,1,16,17,3,6,11,0,0,822,0,2,6,34,0,11,44,5,97,30,2,2,0,55,5,0,0,40,1,105,2,0,1,0,2
"TCGA.EM.A1CW.11A",135,5,1,63,9,0,4,8,230,0,37,0,2,166,1,5,2,3,0,479,23,17,0,8,0,0,1650,0,7,0,11,4,1,15,15,69,30,2,0,1,33,0,8,57,13,2,15,2,2,293,2,3,7,10,2,33,39,0,78,16,11,0,0,57,3,1,0,42,3,17,0,0,0,1,1
"TCGA.EL.A3N3.11A",160,42,4,434,12,3,6,5,686,0,74,1,140,578,3,4,55,35,3,2205,61,5,7,105,0,12,783,2,3,1,136,23,4,26,18,165,351,2,2,1,21,5,21,42,9,1,17,1,6,1257,2,2,15,79,8,21,55,17,117,49,20,0,4,135,39,4,3,49,10,1620,2,4,0,1,2
"TCGA.EL.A3MX.11A",337,17,1,280,34,2,13,4,481,0,111,2,12,783,1,7,33,111,1,1321,86,12,0,12,10,0,2391,1,1,4,78,13,2,53,39,66,23,33,226,2,21,2,26,148,89,7,15,2,12,3611,1,16,32,74,0,42,27,11,111,74,12,0,2,188,25,4,0,85,2,387,0,1,1,0,17
"TCGA.EL.A3ZL.11A",280,17,0,409,24,3,8,5,298,0,68,3,8,250,4,3,23,39,2,1177,63,30,6,67,0,0,2188,0,2,0,161,26,15,12,24,81,175,10,2,0,21,17,35,68,15,3,33,5,5,1549,0,7,15,37,2,13,40,2,161,40,17,4,0,181,26,5,8,21,3,84,1,1,0,0,0
"TCGA.EL.A3ZR.11A",189,31,12,787,15,2,15,3,634,1,87,5,15,413,2,13,33,80,3,1275,89,21,1,118,0,4,423,0,1,2,212,12,7,16,30,324,80,13,0,2,20,1,27,80,16,5,23,20,10,1900,0,7,7,40,2,18,32,10,94,76,12,3,9,146,9,3,11,74,9,486,1,0,0,1,6
"TCGA.EL.A3ZK.11A",122,7,3,110,34,2,17,4,477,1,60,3,28,317,0,7,56,28,1,1516,49,5,2,63,0,9,188,1,3,5,186,24,16,9,15,156,117,12,7,0,12,46,25,30,1,3,37,4,1,1293,8,5,16,49,4,12,27,8,131,37,17,2,7,143,11,4,85,16,4,177,1,1,0,4,2
"TCGA.GE.A2C6.11A",177,20,4,128,17,1,9,1,494,0,66,1,23,407,2,21,88,32,2,1229,61,8,4,87,5,5,877,0,2,0,61,18,9,6,12,1001,277,23,10,1,8,9,17,34,2,5,20,3,3,1306,6,7,21,31,3,5,30,46,76,101,10,3,4,139,7,5,15,13,5,511,0,0,0,0,3
"TCGA.BJ.A28W.11A",63,10,9,272,8,6,12,1,222,0,39,1,90,561,1,2,5,89,1,462,20,0,1,64,4,39,2438,0,2,0,28,0,293,17,8,40,2,1,1,1,4,3,28,3,1,3,3,1,0,1755,0,1,3,4,1,0,12,6,9,18,9,2,0,3,16,0,0,21,0,18,0,3,0,2,0
"TCGA.EL.A3ZP.11A",153,23,1,343,32,5,4,6,936,1,64,3,9,540,0,13,51,55,2,1907,57,17,3,66,3,30,1895,0,3,17,78,15,2,26,16,812,197,4,4,1,11,13,21,65,6,5,12,21,2,1003,5,8,35,51,4,16,52,4,87,74,7,4,1,73,20,5,2,60,1,178,3,2,0,1,0
"TCGA.EL.A3T7.11A",383,23,11,304,28,2,5,10,413,0,94,0,30,343,6,7,26,103,2,1372,75,15,0,44,1,3,696,0,1,3,37,6,0,5,40,94,32,1,0,3,23,1,23,73,5,8,21,9,1,1372,1,15,13,25,0,11,61,7,86,55,7,0,0,101,10,2,2,56,0,244,2,0,0,0,5
"TCGA.KS.A41I.11A",223,8,0,99,15,5,6,5,591,2,74,2,9,483,1,1,191,47,2,2062,53,6,7,67,15,3,464,2,24,3,84,21,9,15,10,498,203,3,4,2,20,7,26,86,9,7,9,9,3,928,4,4,3,47,2,15,37,12,78,94,3,5,1,42,13,13,0,42,9,249,2,0,0,5,0
"TCGA.BJ.A28X.11A",570,17,3,337,21,4,15,11,734,10,82,6,25,1071,2,5,244,64,3,2751,65,8,28,123,13,35,506,1,5,5,226,11,23,43,17,184,376,4,35,2,31,13,23,81,7,4,23,23,1,1798,13,8,8,69,1,26,47,7,166,262,26,3,5,44,28,4,0,57,10,376,2,0,0,2,0
"TCGA.EL.A3T0.11A",285,7,0,310,8,2,23,5,362,1,40,2,10,624,1,1,31,47,5,1328,71,9,6,28,2,8,226,0,1,1,63,17,17,25,17,74,99,2,3,3,10,4,16,111,4,5,7,5,3,1298,0,20,8,75,1,25,37,2,61,51,11,1,1,485,15,6,4,25,1,274,3,0,0,0,1
"TCGA.EL.A3T6.11A",315,21,1,105,10,4,5,0,413,2,49,1,7,735,2,3,28,85,0,1770,59,8,1,46,10,17,177,0,13,6,44,20,12,20,8,206,173,3,3,3,25,3,17,111,10,3,30,3,2,1223,1,6,4,37,0,42,49,5,80,42,16,2,3,63,11,0,0,92,2,151,0,0,2,1,1
"TCGA.EL.A3H1.11A",407,17,0,248,23,0,6,7,525,1,92,2,26,586,0,3,104,160,2,1268,59,20,3,87,11,8,1125,0,15,0,63,16,3,15,23,156,71,32,4,0,30,6,21,46,4,8,12,9,4,1749,8,5,3,17,1,21,67,4,56,40,6,1,0,129,20,7,3,35,2,238,3,1,5,0,1
"TCGA.EL.A3N2.11A",183,18,0,303,11,3,12,2,661,0,53,2,7,501,3,25,35,26,1,974,89,16,0,7,4,1,207,0,3,1,71,7,5,10,21,598,107,7,0,2,21,0,13,63,6,5,9,0,11,2395,0,4,7,17,0,15,60,23,127,66,8,1,0,82,17,1,0,28,9,234,0,0,0,1,12
"TCGA.E8.A2JQ.11A",525,15,5,348,21,5,2,15,583,1,51,2,49,588,0,6,98,28,1,2347,61,5,27,95,2,35,148,1,8,3,111,15,15,11,9,706,320,4,10,0,30,20,17,23,1,3,12,1,3,1465,9,3,10,50,4,9,31,23,101,118,13,4,9,32,34,3,0,32,8,226,0,1,0,4,1
"TCGA.EM.A1CU.11A",153,9,0,98,20,2,3,7,278,1,23,2,15,153,1,7,30,9,1,916,31,8,7,65,1,2,234,0,3,0,47,16,0,17,13,211,201,5,0,2,30,4,27,12,7,3,15,0,3,586,4,0,17,30,2,12,52,2,113,37,21,0,4,59,5,1,11,23,0,160,1,3,0,2,1
"TCGA.EL.A3ZO.11A",686,11,1,568,27,5,5,8,514,1,49,1,13,520,2,13,35,82,3,1071,80,30,0,47,3,13,543,1,2,2,80,23,5,25,16,642,114,7,3,1,16,5,26,146,16,5,15,2,3,2079,1,10,20,84,1,21,42,26,139,71,10,4,0,391,12,5,2,71,1,2411,2,2,0,1,5
"TCGA.EL.A3H7.11A",281,15,0,505,20,13,5,7,396,0,84,1,74,469,0,4,21,64,1,1133,100,8,6,53,184,16,201,0,5,2,84,35,50,1,10,371,103,9,5,2,15,6,20,92,7,4,21,6,1,1665,2,9,6,17,0,23,55,9,113,40,17,2,2,115,13,5,3,42,11,208,0,1,0,0,5
"TCGA.KS.A41L.11A",178,18,0,197,16,3,7,5,525,0,118,2,21,281,3,13,21,42,0,1589,84,21,2,21,3,10,645,0,0,2,76,16,3,5,24,664,30,4,6,2,23,4,43,119,6,6,11,15,1,2588,2,7,4,92,4,27,50,21,115,49,7,1,1,115,35,7,5,37,1,73,1,3,1,3,1
"TCGA.EM.A1CS.11A",346,8,1,252,50,0,9,2,234,1,39,3,5,476,0,8,13,107,0,808,40,12,0,24,0,1,3460,0,5,4,35,2,0,18,15,113,21,1,1,1,8,1,23,37,6,4,10,0,0,1271,0,9,7,30,1,15,39,9,94,37,1,0,0,79,42,1,0,23,3,194,0,0,0,2,0
"TCGA.EL.A3H2.11A",295,20,1,257,21,1,4,6,281,2,52,1,35,452,1,8,15,35,2,818,63,26,4,34,3,2,679,0,16,1,40,3,1,18,28,47,37,8,1,1,16,4,17,43,40,6,21,2,3,1642,0,15,17,21,1,21,49,4,86,17,4,1,1,111,6,3,0,57,2,423,4,3,2,0,2
"TCGA.BJ.A2N8.11A",194,30,12,315,34,12,16,1,963,1,92,0,25,543,0,11,131,215,3,2351,52,12,1,7,1,31,1328,1,4,1,67,1,4,26,37,287,165,12,0,5,18,1,37,69,8,8,7,0,2,1363,0,11,30,27,1,30,51,21,105,42,13,0,0,165,11,0,1,21,8,37,2,0,1,0,0
"TCGA.FY.A3TY.11A",144,13,0,423,16,2,1,4,308,2,68,0,4,213,1,8,7,67,3,1232,53,15,0,24,0,1,792,0,2,2,60,5,3,8,20,50,23,3,1,2,15,0,21,63,6,2,11,3,5,1089,1,6,8,46,0,25,40,2,148,42,4,1,0,104,23,3,1,31,3,166,1,1,0,0,3
"TCGA.EL.A3T2.11A",418,13,0,477,15,1,3,4,376,0,42,2,2,598,1,0,25,66,2,1014,92,21,0,23,1,2,244,1,5,2,57,8,3,30,23,64,259,2,0,2,3,3,18,37,25,6,13,9,23,1240,1,2,76,92,0,59,55,2,212,98,17,0,0,391,11,3,1,23,5,1415,2,0,1,2,4
"TCGA.EL.A3ZM.11A",156,20,0,259,7,4,17,1,201,0,47,2,10,242,0,3,0,65,1,1215,99,10,2,13,11,0,371,0,2,2,32,4,26,17,7,94,51,1,0,6,17,1,11,49,1,3,7,7,0,919,0,4,18,16,0,9,31,6,35,27,12,0,0,103,7,2,4,71,2,118,0,1,2,0,3
"TCGA.EL.A3T3.11A",280,9,1,300,24,0,2,3,364,0,111,0,3,305,1,16,15,40,1,1295,101,25,2,20,1,2,997,0,2,5,49,11,1,10,23,122,30,68,2,0,21,1,15,172,12,3,13,2,9,1731,5,13,2,51,2,18,37,3,81,63,3,1,0,105,28,4,0,34,4,822,2,0,2,1,3
"TCGA.ET.A3DP.11A",222,23,2,226,13,2,1,0,499,0,51,3,4,356,0,5,33,97,0,594,120,18,2,37,1,0,337,1,7,1,21,6,3,33,9,194,94,7,1,4,9,1,10,37,5,11,7,4,0,1263,0,2,63,18,1,18,74,6,57,46,3,0,1,131,3,0,0,43,1,5087,1,1,0,0,2
